sent.id	word.id	conv	alt.conv	id	spk	seg.id	pid	tid	starttime	endtime	nwords	word	utt.position	punc
ChrisBangle_2002.CB.p.1.sent.1	ChrisBangle_2002.CB.words1	ChrisBangle_2002	0005	5	CB	ChrisBangle_2002.CB.p.1.seg.1	p.1	t.1	16	19	9	What	1	None
ChrisBangle_2002.CB.p.1.sent.1	ChrisBangle_2002.CB.words2	ChrisBangle_2002	0005	5	CB	ChrisBangle_2002.CB.p.1.seg.1	p.1	t.1	16	19	9	I	2	None
ChrisBangle_2002.CB.p.1.sent.1	ChrisBangle_2002.CB.words3	ChrisBangle_2002	0005	5	CB	ChrisBangle_2002.CB.p.1.seg.1	p.1	t.1	16	19	9	want	3	None
ChrisBangle_2002.CB.p.1.sent.1	ChrisBangle_2002.CB.words4	ChrisBangle_2002	0005	5	CB	ChrisBangle_2002.CB.p.1.seg.1	p.1	t.1	16	19	9	to	4	None
ChrisBangle_2002.CB.p.1.sent.1	ChrisBangle_2002.CB.words5	ChrisBangle_2002	0005	5	CB	ChrisBangle_2002.CB.p.1.seg.1	p.1	t.1	16	19	9	talk	5	None
ChrisBangle_2002.CB.p.1.sent.1	ChrisBangle_2002.CB.words6	ChrisBangle_2002	0005	5	CB	ChrisBangle_2002.CB.p.1.seg.1	p.1	t.1	16	19	9	about	6	None
ChrisBangle_2002.CB.p.1.sent.1	ChrisBangle_2002.CB.words7	ChrisBangle_2002	0005	5	CB	ChrisBangle_2002.CB.p.1.seg.1	p.1	t.1	16	19	9	is,	7	,
ChrisBangle_2002.CB.p.1.sent.1	ChrisBangle_2002.CB.words8	ChrisBangle_2002	0005	5	CB	ChrisBangle_2002.CB.p.1.seg.1	p.1	t.1	16	19	9	as	8	None
ChrisBangle_2002.CB.p.1.sent.1	ChrisBangle_2002.CB.words9	ChrisBangle_2002	0005	5	CB	ChrisBangle_2002.CB.p.1.seg.1	p.1	t.1	16	19	9	background,	9	,
ChrisBangle_2002.CB.p.1.sent.1	ChrisBangle_2002.CB.words10	ChrisBangle_2002	0005	5	CB	ChrisBangle_2002.CB.p.1.seg.2	p.1	t.2	19	21	7	is	1	None
