word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
good		0.24	0.8179	16.27	0.6897	3.7938	3.1762	12.1032
morning		0.53	1.032	0.0	0.7087	10.7544	0.5568	20.9119
everyone		0.49	0.8343	0.0	-3.1413	3.7331	1.2233	20.3686
first	.	0.12	0.3272	0.0	-2.7215	2.4211	-2.1895	10.9853
of		0.47	3.2036	0.0	0.97	7.0351	0.6319	18.9584
all		0.24	1.0906	0.0	1.7475	1.6615	2.414	15.8761
it's	,	0.23	1.0456	1.12	-2.4154	2.9785	-4.0064	16.4091
been		0.24	0.8179	0.0	-1.6684	1.5784	2.0817	16.788
fantastic		0.75	1.1356	0.0	-1.799	5.5778	-2.0642	20.3437
being		0.25	0.6816	0.0	-3.1171	2.3522	3.3366	14.1653
here		0.37	1.261	0.0	-3.7394	5.2045	2.7482	9.1987
over		0.2	0.6816	0.0	-4.2993	3.1965	1.0783	9.673
these		0.4	1.0906	0.0	-4.8113	2.7109	-0.7484	14.4931
past		0.0	1.0	0.0	0.0	0.0	0.0	0.0
few		0.0	1.0	0.0	-2.2197	3.3443	0.7236	14.1371
days		0.55	1.8744	0.0	-5.0807	7.7255	0.3828	16.1439
and	.	0.38	1.7272	0.52	-1.7333	1.355	3.6491	14.9679
secondly		0.82	1.3973	0.0	1.1011	6.4094	1.1659	19.8425
i	,	0.08	1.0906	0.0	-0.9066	1.8289	0.7216	13.3786
feel		0.28	0.9543	0.0	0.5202	2.8558	1.4055	17.9264
it's		0.16	0.7266	0.0	-0.0399	1.2898	-5.6146	10.9944
a		0.05	0.6816	0.0	1.0938	0.7609	-0.3088	7.033
great		0.24	0.6544	0.0	-0.0873	2.6815	1.8027	17.4971
honor		0.36	0.9815	0.0	-0.45	4.354	2.6793	18.6228
to		0.16	1.0906	0.0	-0.2275	1.2835	-3.5392	13.066
kind		0.28	0.9543	0.0	-0.1673	2.945	3.0924	17.175
of		0.21	1.4314	0.0	-1.4356	1.9989	-1.2968	16.6494
wind		0.36	1.2269	0.0	-0.9431	2.1824	5.7861	6.3888
up		0.31	2.113	0.0	-0.5176	1.4569	-2.6676	18.2557
this		0.23	0.7839	0.0	-2.6051	3.8015	-3.681	15.2237
extraordinary		0.83	0.8697	0.0	-1.3118	5.044	0.6225	19.0141
gathering		0.39	0.5903	0.36	-1.6035	3.2137	4.3173	12.2382
of		0.12	0.8179	0.0	-3.9944	1.3818	1.0442	12.8541
people		0.65	1.4764	0.0	-1.0357	3.8437	-2.2129	19.2527
these	,	0.23	0.6271	0.0	0.4135	2.5311	1.821	19.5992
amazing		0.59	1.1492	0.0	-0.583	4.7932	3.2145	16.7945
talks		0.41	1.1179	0.0	1.0587	1.5902	-0.5312	18.4041
that		0.11	0.3749	0.0	1.8476	2.0001	-0.9177	12.3834
we've		0.18	0.6135	0.0	-1.6726	3.6593	2.7062	14.8915
had		0.33	1.4996	0.0	-3.2791	4.8247	1.7131	11.9077
i	.	0.28	3.8171	1.22	0.9398	1.2775	4.4538	12.5979
feel		0.32	1.0906	0.0	4.5897	7.8719	2.5962	13.1816
that		0.15	0.5112	0.0	1.6632	2.7483	3.2692	13.9419
i've		0.34	1.5445	0.0	0.5301	5.1869	1.0848	15.3216
fitted		0.46	1.0456	0.0	3.1579	6.5692	-1.2626	20.6451
in		0.23	1.5677	0.0	1.7528	1.7046	6.9781	4.2878
in	,	0.13	0.8861	0.0	-0.814	2.0091	6.2724	2.6807
many		0.25	0.852	0.0	0.0656	1.6772	6.509	4.7713
