word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
i		0.0	1.0	0.0	0.0	0.0	0.0	0.0
think		0.0	1.0	0.0	0.0	0.0	0.0	0.0
i		0.0	1.0	0.0	0.0	0.0	0.0	0.0
was		0.0	1.0	0.0	0.0	0.0	0.0	0.0
supposed		0.0	1.0	0.0	-1.7124	3.3807	2.3483	20.7485
to		0.1	0.8136	0.0	-2.4952	2.5599	5.4321	18.7511
talk		0.26	1.0576	0.0	-4.0054	1.962	0.4162	22.687
about		0.39	1.2691	0.0	-5.158	3.7923	2.93	24.5877
my		0.22	1.7898	0.0	-5.2847	4.2107	6.3347	22.9421
new		0.16	0.8672	0.0	-3.4965	8.6762	9.2119	5.2899
book		0.34	1.383	0.0	-5.843	10.6778	3.0587	24.0337
which	,	0.33	1.0739	0.0	-4.9137	2.5692	-1.4686	21.016
is		0.24	1.9525	0.0	-6.2046	3.4806	5.6233	27.727
called		0.12	0.3254	0.0	-9.3573	2.0463	4.663	6.0075
blink		0.29	0.9437	0.97	-3.9752	4.9993	6.4922	18.7151
and	,	0.32	1.7361	0.33	-9.0204	2.6338	-2.9786	23.7285
it's		0.12	0.6508	0.0	-6.6639	2.0338	-6.7491	17.1262
about		0.32	1.0413	0.0	-7.7053	4.6272	3.1963	21.2689
snap		0.28	1.139	0.0	-6.2565	2.6902	1.0281	23.6623
judgments		0.47	0.8493	0.0	-9.1083	3.3456	0.6319	22.5525
and		0.23	1.248	0.0	-10.3847	5.44	-0.6773	20.137
first		0.25	0.8136	0.0	-8.3297	2.63	-2.5187	23.3827
impressions		0.52	0.7696	0.0	-9.3441	3.2522	1.3891	20.944
and	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
it		0.0	1.0	0.0	-8.5851	1.0241	-4.8901	13.8097
comes		0.27	0.8786	0.0	-7.089	3.1885	6.0551	20.1849
out		0.13	0.7045	0.0	-7.7072	1.0373	10.4397	5.9028
in		0.37	3.0101	0.0	-9.8436	3.6503	-3.5618	26.6323
january		0.48	1.1162	0.0	-7.8478	3.8948	5.1082	32.8534
and	,	0.1	0.5418	0.0	-10.0982	1.4754	6.1218	3.0854
i		0.04	0.6508	0.0	-10.2353	1.0348	7.1527	1.2666
hope		0.21	0.8542	0.0	-8.7773	4.0857	4.915	20.5652
you		0.09	0.4881	0.8	-7.3242	1.3328	8.7896	3.6624
all		0.08	0.4344	0.0	-8.5129	0.5984	10.4582	2.6501
buy		0.17	0.9226	0.0	-7.8258	1.6578	8.3276	15.9832
it		0.06	0.4881	0.0	-7.8663	1.0527	7.1083	4.0046
in		0.11	0.8949	0.0	-9.0015	1.0644	5.5306	0.8535
triplicate		0.96	1.562	0.0	-9.856	4.4131	2.0947	24.7375
but	.	0.45	2.4407	0.0	5.9166	2.7628	-1.2308	15.1505
i		0.07	1.139	0.0	9.2665	2.4556	0.2564	7.4298
was		0.31	1.6808	1.23	0.6085	8.0669	-1.6962	29.1367
thinking		0.31	0.6297	0.0	4.2667	4.2632	2.9489	27.5547
about		0.14	0.4556	0.0	-0.6173	3.5851	8.2073	10.847
this		0.12	0.4881	0.0	-1.984	1.2867	6.8803	15.3246
and	,	0.09	0.4881	0.0	10.9376	0.7985	11.5268	5.6081
i		0.06	0.9763	0.0	10.4001	0.7849	11.4646	5.1747
realized		0.38	0.7729	0.0	9.8731	4.3713	7.8491	21.8526
that		0.12	0.4881	0.0	9.7392	4.0885	4.2351	16.8875
although		0.12	0.2441	0.0	9.1733	3.5157	9.2928	10.4337
my		0.48	3.905	0.0	7.9098	5.0367	4.6786	28.015
new		0.23	1.248	0.0	5.0562	2.5318	-0.5169	23.574
book		0.18	0.7322	0.98	-3.2314	2.1836	1.4644	23.4965
makes		0.38	1.2366	0.0	-3.2868	4.5773	-0.5534	23.8977
me		0.22	1.7898	0.0	0.3554	3.5477	5.4441	24.7801
happy		0.53	1.7247	0.0	-6.3354	9.4459	4.4969	24.925
and	,	0.4	2.1689	0.0	-7.2673	4.4041	5.4234	21.3056
i		0.1	1.6271	1.07	-6.2154	2.3922	2.36	22.4438
think		0.17	0.5532	0.0	-4.6329	5.8637	3.9746	18.2934
would		0.09	0.2929	0.0	-4.3333	3.4769	6.9203	12.5832
make		0.18	0.7322	0.0	-5.5964	1.6885	3.1112	20.028
my		0.19	1.5457	0.0	-6.6774	2.4672	8.5305	7.7452
mother		0.29	0.7859	0.0	-5.426	4.366	7.7786	11.5114
happy		0.39	1.2691	0.0	-8.8694	4.9487	4.3212	20.7708
it's	,	0.16	0.8672	0.56	10.332	4.4665	-2.3501	20.5032
not		0.2	1.0853	0.0	9.8621	1.9073	7.6141	16.5675
really		0.19	0.5158	0.0	7.8472	3.3929	9.7067	11.7515
about		0.26	0.8461	0.0	4.7291	3.7341	4.0105	21.2812
happiness		1.11	2.0062	0.0	-8.5263	21.3065	-0.8868	34.3152
so	.	0.25	2.0339	0.0	-2.8225	5.6234	7.6561	21.0419
i		0.09	1.4644	0.4	0.1574	1.9143	5.3734	29.8213
decided		0.33	0.7664	0.0	-0.0195	6.8952	4.2493	20.615
instead		0.53	1.2317	0.0	0.4927	7.8223	1.4813	24.6953
i	,	0.3	4.8813	0.0	-2.9957	7.0213	3.1072	27.0025
would		0.09	0.2929	0.0	-7.5065	2.2887	5.5683	6.9231
talk		0.2	0.8136	1.11	-3.5542	1.582	2.3679	21.3936
about		0.18	0.5858	0.0	-5.9734	2.3275	2.747	23.5697
someone		0.27	0.6281	0.0	-5.8232	2.3764	4.1793	22.4866
who		0.3	1.6271	0.0	-6.7773	4.5985	4.5736	19.6553
i		0.14	2.2779	0.33	-4.3327	1.9781	0.2378	31.127
think		0.21	0.6834	0.0	-3.8867	2.7953	3.7647	21.6294
has		0.15	0.8136	0.0	-7.2247	5.5276	0.9379	14.1427
done		0.37	1.5051	0.0	-7.0806	4.5023	5.7238	23.1106
as		0.11	0.8949	0.34	-7.1126	3.5803	4.8773	11.6603
much		0.29	1.1796	0.0	-4.1145	4.2628	3.58	18.9684
to		0.09	0.7322	0.0	-4.4457	2.0666	-1.8217	14.946
make		0.44	1.7898	0.0	-6.8852	2.8991	-2.0075	28.3941
americans		0.52	0.9405	0.0	-7.0712	4.954	3.0134	28.9758
happy		0.44	1.4318	0.0	-7.579	6.9475	4.3182	19.4632
as		0.19	1.5457	0.76	3.001	1.6395	-3.9151	20.8675
perhaps		0.4	0.9291	0.0	4.5459	4.991	-0.571	26.6327
anyone		0.43	1.1666	0.0	-5.685	13.8837	3.7827	21.0047
