word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
imagine		0.54	0.558	17.59	11.6943	11.5195	1.7824	21.7015
spending		0.43	0.3886	0.0	1.8773	6.5892	-4.3075	26.582
seven		0.28	0.4053	0.0	1.409	3.9341	1.4624	18.7089
years		0.26	0.3763	0.0	-1.0397	3.2093	1.8091	16.0907
at		0.12	0.4342	0.0	-2.6714	0.7703	3.135	9.3973
m		0.0	1.0	0.0	0.0	0.0	0.0	0.0
i		0.0	1.0	0.0	0.0	0.0	0.0	0.0
t		0.0	1.0	0.0	0.0	0.0	0.0	0.0
and		0.0	1.0	0.0	0.0	0.0	0.0	0.0
research		0.0	1.0	0.0	-1.0203	2.4285	3.9106	5.5644
laboratories		0.66	0.3981	1.03	-2.5228	1.8509	-1.6598	22.1622
only	,	0.18	0.3257	0.0	-4.1531	0.8177	-0.4951	2.4062
to		0.08	0.2895	0.0	-4.5176	0.8223	-5.3573	9.8885
find		0.29	0.5247	0.0	-3.9328	2.0117	-2.0049	22.8656
out		0.0	1.0	0.0	0.0	0.0	0.0	0.0
that		0.0	1.0	0.0	0.0	0.0	0.0	0.0
you're		0.0	1.0	0.0	-4.43	3.1243	-7.6153	23.6224
a		0.12	0.8685	0.0	0.0	0.0	-16.4765	2.6937
performance		0.0	1.0	0.0	0.0	0.0	0.0	0.0
artist		0.0	1.0	0.0	0.0	0.0	0.0	0.0
i'm	.	0.0	1.0	0.0	3.7591	3.7631	4.5988	15.119
also		0.32	0.579	0.0	2.3918	1.485	0.9319	16.3334
a		0.06	0.4342	0.0	0.472	1.7456	5.7659	8.7826
software		0.36	0.3257	0.0	0.5574	3.2581	-3.2081	20.1732
engineer		0.41	0.3706	0.0	-1.6778	3.2503	1.3918	11.7473
and	,	0.11	0.2656	0.0	-2.818	0.8606	0.8617	2.7967
i		0.07	0.5066	0.0	-3.9602	0.4856	3.1616	2.662
make		0.19	0.3438	0.0	-3.7156	1.2532	-0.3177	12.6864
lots		0.21	0.38	0.0	-4.1048	0.6812	-0.3929	18.2014
of		0.07	0.2533	0.0	-3.8405	1.3451	-3.6502	8.1459
different		0.22	0.1766	0.0	-4.0843	1.0156	-4.709	12.7687
