word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
i'm		0.09	0.7607	15.95	6.0504	1.1782	3.133	3.4558
michael		0.23	0.5562	0.0	3.6603	3.6485	0.9361	20.9353
shermer		0.3	0.7252	0.0	3.5884	2.4131	0.9457	15.1223
director	,	0.26	0.5494	0.07	1.6681	2.5986	-1.4997	24.2752
of		0.06	0.5071	0.0	0.9214	1.6054	-2.251	3.3628
the		0.06	0.3381	0.0	-0.1056	2.0035	-0.2316	4.2469
skeptics		0.36	0.7607	0.0	1.129	6.2572	-4.3345	25.8294
society		0.34	0.8216	0.0	0.1816	4.694	-0.859	21.4267
publisher	,	0.34	0.639	0.06	-0.049	5.3185	-0.6473	17.3119
of		0.09	0.7607	0.0	-1.4753	2.6227	-1.6921	13.8566
skeptic		0.5	1.207	0.0	1.1975	4.489	-7.0055	27.4171
magazine		0.48	1.0143	0.0	0.4661	2.0177	2.2729	10.5468
we	.	0.1	0.8452	0.0	0.1794	0.6133	3.4793	0.6604
investigate		0.49	0.7523	0.0	-0.048	3.3998	-0.6963	23.4082
claims		0.29	0.8165	0.0	0.0376	3.5762	-0.7552	20.5219
of		0.06	0.5071	0.0	-2.4436	0.7338	-4.5176	3.1266
the		0.07	0.3939	0.0	-1.6248	1.5071	0.1311	8.2553
paranormal		0.53	0.8959	0.0	-0.4597	3.6535	0.4848	22.4421
pseudo	,	0.25	0.7049	0.0	0.0	0.0	-2.1452	17.2449
science		0.35	0.8452	0.0	0.0	0.0	-2.7208	20.3262
fringe	,	0.25	0.7049	0.1	12.7322	6.5305	-2.8286	26.3449
groups		0.27	0.7607	0.0	12.4756	2.2293	-6.0308	21.6356
and		0.13	0.732	0.0	8.924	7.2297	-2.2846	17.838
cults		0.26	0.879	0.0	2.2163	4.0965	-4.6919	24.0782
and	,	0.12	0.6762	0.0	-2.7724	7.7905	-0.4368	12.8736
claims		0.31	0.874	0.0	-9.9534	7.3844	0.8317	19.2037
of		0.1	0.8452	0.0	-13.3736	2.5678	-0.002	8.6153
all		0.16	0.901	0.0	-10.863	1.9825	4.3126	17.4354
