word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
in		0.0	1.0	0.0	0.0	0.0	0.0	0.0
terms		0.0	1.0	0.0	0.0	0.0	0.0	0.0
of		0.0	1.0	0.0	0.0	0.0	0.0	0.0
invention		0.0	1.0	0.0	0.0	0.0	0.0	0.0
i'd	,	0.0	1.0	0.0	-4.8745	1.2802	-7.6736	13.6023
like		0.23	0.871	0.0	-0.5129	4.5755	-4.0062	22.4181
to		0.16	1.2118	0.0	1.3409	3.0595	-10.4295	17.7868
tell		0.16	0.6059	0.36	-0.8535	2.32	-6.4165	19.029
you		0.14	0.7074	0.0	-0.3663	2.9812	-2.8744	11.307
the		0.08	0.4045	0.0	-2.209	1.9263	-6.4457	12.6077
tale		0.27	1.0225	0.0	-1.2076	1.6691	-6.4774	20.7659
of		0.09	0.6817	0.0	-2.7858	2.6994	-5.4299	12.8955
one		0.13	0.6559	0.0	-3.1163	4.1368	-4.5263	16.41
of		0.07	0.5302	0.0	-2.146	0.8112	-3.1063	2.7828
my		0.12	0.9089	0.0	-3.2933	1.4999	-0.7055	4.6011
favorite		0.72	1.3633	0.0	-2.7201	4.5216	-8.1275	30.5212
projects		0.0	1.0	0.0	0.0	0.0	0.0	0.0
i	.	0.0	1.0	0.0	-4.2286	1.6595	-2.2689	8.5332
think		0.19	0.5756	0.0	-1.8553	5.3509	-6.7105	19.9498
it's		0.13	0.6559	0.0	-0.2603	2.5514	-9.181	18.2368
one		0.16	0.8074	0.0	0.7982	1.2525	0.2382	19.4934
of		0.11	0.8331	0.0	-1.726	5.6067	-4.6205	15.2208
the		0.45	2.2722	0.0	-0.8801	7.9205	-8.7297	25.297
most		0.33	1.2497	0.0	1.6756	5.9382	-6.5683	27.3906
exciting		0.49	0.9271	0.0	1.9082	4.7382	-6.439	28.9974
that		0.14	0.5302	0.0	0.8875	2.3506	-0.6899	8.9199
i'm		0.13	0.9846	0.0	-0.5868	1.3051	0.6667	4.9262
working		0.35	0.7574	0.0	0.3028	3.4365	-4.2931	18.8956
on		0.22	1.6663	0.0	1.8964	1.6912	0.6551	5.7615
but	,	0.0	1.0	0.0	0.0	0.0	0.0	0.0
i		0.0	1.0	0.0	0.3991	2.5206	4.985	12.0514
think		0.22	0.6665	0.0	1.4942	4.293	-2.6	17.3161
it's		0.13	0.6559	0.0	1.1364	3.7441	-7.5115	18.7296
also		0.57	2.1586	0.0	1.733	2.6687	-4.8598	30.5823
the		0.13	0.6559	0.0	0.9441	3.1146	-10.9714	24.3531
simplest		0.49	0.9271	0.0	0.5638	3.092	-9.0265	24.5767
it's	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
a		0.0	1.0	0.0	0.0	0.0	0.0	0.0
project		0.0	1.0	0.0	0.0	0.0	0.0	0.0
that		0.0	1.0	0.0	0.9668	7.4154	-2.6704	27.6142
has		0.23	1.1618	0.0	1.4016	3.9969	-2.9323	19.7838
the		0.09	0.4544	0.0	0.9834	5.2869	-6.1697	13.6884
potential		0.49	0.824	0.0	1.0874	3.9917	-6.6093	25.4737
to		0.1	0.7574	0.0	-1.0439	1.6375	-4.3269	8.9356
make		0.21	0.7953	0.0	-2.2368	2.3234	-4.1202	16.5882
a		0.05	0.7574	0.0	-2.3336	1.7691	-4.0411	10.003
huge		0.39	1.4769	0.0	-8.2885	8.1431	-8.2527	19.4512
impact		0.5	1.2618	0.0	-13.5158	3.2157	-3.4099	23.952
around		0.29	0.7316	0.0	-14.0633	2.4189	-2.1747	11.1008
the		0.07	0.3529	0.0	0.0	0.0	-4.6547	3.9521
world		0.3	0.9089	0.0	-14.0341	0.4135	-5.4169	14.3149
it	.	0.11	0.8331	0.6	-0.9681	1.8618	-1.0901	8.1616
addresses		0.47	0.7907	0.0	1.7463	8.43	-2.6305	23.5327
one		0.17	0.8589	0.0	1.6388	3.2376	-0.3318	13.407
of		0.09	0.6817	0.0	0.9091	3.3087	-2.2094	8.8393
the		0.1	0.5044	0.0	-1.0537	5.932	-4.9334	7.2622
biggest		0.56	1.2118	0.0	0.7456	7.9109	-10.3571	26.5854
health		0.36	0.9089	0.0	1.2672	1.2052	-4.2205	23.0928
issues		0.34	0.8589	0.0	0.264	2.9588	-4.1675	10.0654
on		0.16	1.2118	0.0	-1.8006	1.7874	-0.5706	6.2907
the		0.1	0.5044	0.0	-1.9395	1.1047	-8.6434	17.8637
planet		0.3	0.7574	0.0	-2.7565	6.9658	-7.6087	24.3238
the	,	0.0	1.0	0.0	0.0	0.0	0.0	0.0
number		0.0	1.0	0.0	1.8566	5.4118	2.1352	7.8322
one		0.27	1.3633	0.0	2.1087	1.1937	-0.7088	8.2426
cause		0.36	1.0907	0.0	0.134	4.4166	-1.3046	24.6842
of		0.13	0.9846	0.33	-3.5983	1.7405	-5.1945	16.5626
death		0.33	0.9998	0.0	-3.5603	6.7195	-4.8986	23.0066
in		0.11	0.8331	0.0	-3.5522	0.9775	-4.3296	8.367
children		0.36	0.6817	0.0	-3.3479	3.2631	-6.8229	15.7275
under		0.29	0.8786	0.0	-5.4991	1.5388	-8.1641	23.5297
five		0.22	0.8331	0.0	-8.7923	6.3419	-6.9311	23.9246
which	,	0.21	0.6362	0.78	-2.8444	4.5309	-5.1999	17.2157
is		0.5	3.787	0.0	0.5592	3.1297	-8.468	28.0845
water		0.28	0.8483	1.35	10.7023	4.2216	3.92	16.985
borne		0.2	0.6059	0.0	1.6763	10.6245	-0.1128	15.8182
diseases		0.65	1.2315	0.0	-1.2232	3.2085	-4.9414	23.0787
diarrhea	?	0.67	1.2694	0.38	-2.6289	5.8304	-0.6253	22.3604
malnutrition	?	0.78	0.9846	0.0	-3.2839	7.0558	-5.8929	25.2391
no	?	0.0	1.0	0.0	0.0	0.0	0.0	0.0
it's	,	0.0	1.0	0.0	0.0	0.0	0.0	0.0
breathing		0.0	1.0	0.0	4.7434	4.6627	1.4798	28.2341
the		0.1	0.5044	0.0	1.9702	2.3977	-0.8664	11.9577
smoke		0.44	1.333	0.0	0.269	5.4	-4.9081	23.79
from		0.18	0.6817	0.0	-2.0006	2.4589	-8.6057	14.6031
indoor		0.98	2.4737	0.0	-1.5192	7.626	-2.4779	29.1353
cooking		0.51	1.1043	0.0	-4.1476	7.9807	-6.4681	26.1384
fires		0.5	1.5148	0.0	-6.9353	2.3196	-7.0707	28.6454
acute		0.28	0.8483	0.61	3.2636	2.6915	-2.8866	18.5502
respiratory		0.62	0.8543	0.0	-0.1402	6.0058	-3.7355	25.5266
infections		0.64	0.9695	0.0	-3.3402	4.8668	-3.0461	23.9039
caused		0.39	0.9846	0.0	-4.3465	2.1637	-6.2949	27.8933
by		0.13	0.9846	0.0	-5.5972	2.3824	-3.1098	17.9887
this		0.27	1.0225	0.0	-7.0158	0.9378	-10.2917	21.2213
can	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
you		0.0	1.0	0.0	-9.7342	5.9177	3.5188	23.8996
believe		0.31	0.6711	0.0	-11.1616	8.5238	-0.5221	16.063
that		0.22	0.8331	0.0	-11.6977	4.2375	-0.5707	20.575
i	?	0.08	1.2118	1.14	2.6512	4.3658	6.6876	6.786
find		0.28	1.0604	0.0	3.964	6.3156	2.6084	21.8207
this		0.14	0.5302	0.0	-1.8235	2.9373	1.8802	10.2891
shocking		0.46	0.871	0.0	-2.7167	11.3227	0.8457	20.2568
and		0.25	1.2618	0.57	-4.0771	6.946	-1.9459	25.0646
somewhat		0.4	0.7574	0.0	-11.3397	5.1913	1.2168	27.2117
appalling		0.5	0.8422	0.0	-13.2749	2.2191	0.3639	21.0459
can't	.	0.22	0.8331	0.57	2.0673	2.7727	5.0829	14.8438
