word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
like		0.0	1.0	0.0	0.0	0.0	0.0	0.0
many		0.0	1.0	0.0	0.0	0.0	0.0	0.0
architects		0.11	0.1583	7.44	12.9657	0.8912	8.8288	2.2141
david	,	0.26	0.7481	0.7	11.7779	3.1045	5.999	9.8026
is		0.29	2.086	0.0	9.2007	2.4681	6.5871	8.4166
a		0.19	2.7334	0.0	8.8115	3.13	7.1208	8.9899
hog		0.34	1.63	1.16	1.6973	4.1667	5.2033	11.5085
for		0.11	0.528	0.0	2.2749	1.8234	-0.0653	12.1666
the		0.07	0.3352	0.0	-0.9124	1.3808	6.2788	4.0476
limelight		0.48	0.7668	0.0	-0.1915	2.0978	6.098	9.8144
but		0.27	1.2948	0.0	10.694	4.3573	-0.2622	17.0962
is		0.2	1.4386	0.0	9.5785	6.8637	3.3939	12.6757
sufficiently		0.49	0.587	0.0	2.3126	8.4958	1.744	18.5074
reticent		0.53	0.9538	0.0	-2.1562	6.9215	2.3575	16.7107
or		0.17	1.2228	0.0	-2.1817	2.348	4.7548	8.9144
at		0.07	0.5035	0.0	-3.8395	1.1742	2.452	2.3068
least		0.2	0.5755	0.0	-3.174	1.3575	2.1342	14.3281
pretends		0.0	1.0	0.0	0.0	0.0	0.0	0.0
to		0.0	1.0	0.0	-0.3328	4.3399	-0.6915	8.8457
be		0.16	1.1509	0.0	-2.8291	3.7158	4.889	9.1198
that		0.24	0.8632	0.0	-3.5048	3.4102	2.488	14.9522
he		0.27	1.9422	0.0	-2.4427	1.7866	4.1683	11.4517
asked		0.28	0.8056	0.0	-2.7278	2.5267	2.0836	15.5957
me		0.16	1.1509	0.0	-3.1974	2.458	5.6946	2.5322
to		0.22	1.5825	0.0	-4.5414	3.7449	1.9047	11.6423
question		0.44	0.7913	0.58	-2.6089	3.2709	1.6478	17.9685
him		0.24	1.1509	0.0	-5.926	4.5183	3.3938	6.2583
rather		0.07	0.1683	0.82	-5.5164	1.4188	4.5826	2.5897
than		0.2	0.7193	0.0	-6.9469	3.11	2.321	8.9193
speaking		0.58	1.043	0.59	-12.2836	4.2658	0.9152	21.658
in	.	0.38	2.7334	0.0	0.1991	13.0907	6.1853	8.3189
fact		0.28	1.0071	0.0	-1.0401	3.3316	0.1803	19.8218
what		0.1	0.3597	0.0	-1.0825	1.8797	4.6567	11.9752
we're		0.09	0.3237	0.0	-2.1938	1.2955	2.3548	14.693
going		0.12	0.3453	0.0	-3.1493	2.2711	4.4165	7.3425
to		0.06	0.4316	0.0	-3.7347	1.422	1.8995	11.5406
talk		0.23	0.8272	0.0	-1.1371	2.8549	1.6722	17.6084
about		0.37	1.0646	0.0	-3.5913	2.6626	3.1643	14.8764
i	,	0.1	1.4386	0.0	-3.8164	2.7612	2.6423	6.0754
think		0.0	1.0	0.0	0.0	0.0	0.0	0.0
is	,	0.0	1.0	0.0	-3.7832	5.4319	3.3345	10.0606
in		0.0	1.0	0.0	0.0	0.0	0.0	0.0
fact		0.0	1.0	0.0	0.0	0.0	0.0	0.0
a		0.0	1.0	0.0	-3.9266	0.4638	6.2121	3.7178
subject		0.36	0.7395	3.06	3.8009	8.5201	0.1989	20.1165
that		0.27	0.9711	0.0	1.8715	1.2886	-1.794	18.3243
is		0.2	1.4386	0.0	1.2279	5.9173	0.2142	20.1398
probably		0.41	0.7366	0.0	0.4527	5.7863	2.6509	18.264
better		0.32	0.7668	0.0	0.3014	5.0272	4.6179	13.996
served		0.29	0.6949	0.33	-0.2231	6.2561	2.1908	15.1789
by		0.27	1.9422	0.0	-1.752	1.24	8.059	6.8011
a		0.06	0.8632	0.0	-1.0099	0.5045	1.1917	4.3698
conversation		0.74	0.8876	0.0	-1.5081	3.4932	2.0413	15.8237
than		0.39	1.4027	0.56	-3.23	4.5924	2.3249	10.5936
an		0.15	1.079	0.0	-1.7761	2.4828	1.6638	13.2261
address		0.54	1.1092	0.0	-4.2958	4.9607	-0.8649	16.3604
and	.	0.1	0.4791	0.0	9.1463	2.281	2.7413	2.4697
i		0.06	0.8632	0.0	8.8034	0.3289	3.4896	0.86
guess		0.21	0.6042	0.0	9.5989	1.5018	-0.3545	13.335
we		0.13	0.9351	0.0	9.5956	3.4097	1.5461	14.8001
have		0.19	0.6834	0.0	8.4602	3.1148	4.7436	7.2825
a		0.39	5.6107	1.47	4.7921	8.5044	2.8123	11.4744
bit		0.11	0.528	0.37	-14.1302	3.9235	6.3585	4.8512
of		0.13	0.9351	0.0	-15.7019	1.2471	2.1473	9.5044
news		0.3	1.079	0.0	-14.3307	2.2648	6.4213	11.8424
clip		0.27	0.9711	0.0	-14.3101	2.9785	1.838	14.6957
to		0.72	5.1791	0.64	-15.6619	2.876	-0.4384	22.8137
precede		0.88	1.8084	0.85	-13.1381	4.5776	-1.0325	21.467
since	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
the		0.0	1.0	0.0	1.7489	4.7404	5.7582	8.0874
september		0.42	0.6718	0.0	1.9654	5.4719	3.54	12.3689
eleventh		0.37	0.6647	0.0	-0.6693	4.6301	3.1582	10.5378
attack		0.38	0.9107	0.0	1.1968	2.9573	0.4035	16.9263
on		0.07	0.5035	0.0	-0.3058	2.0937	6.2637	5.7632
the		0.08	0.3841	0.0	-1.1143	0.806	5.6195	4.6975
world		0.29	0.8344	0.0	-0.42	4.7447	3.6314	13.5857
trade		0.26	0.7481	0.0	-8.0392	7.4208	2.2161	12.2168
center		0.27	0.6474	0.0	-9.8548	3.3367	5.6246	8.1014
many	,	0.21	0.7553	0.0	0.0	0.0	5.6358	9.5564
people		0.36	0.8632	0.0	13.7496	8.0047	2.0031	16.457
have		0.21	0.7553	0.0	9.1437	3.1871	-0.2475	17.5384
flocked		0.34	0.6992	0.0	2.7426	8.495	-0.1796	16.3103
to		0.11	0.7913	0.0	-1.8038	3.8944	1.1461	6.8481
downtown		0.51	0.9179	0.0	-0.5197	3.4645	3.2989	13.8964
new		0.09	0.4316	0.0	-0.9379	1.0271	5.8808	2.1041
york		0.26	0.9351	0.0	-0.9661	1.021	3.3452	13.2573
to		0.11	0.7913	0.0	-1.2081	2.3236	-0.8384	12.0416
see		0.49	2.3493	0.0	1.693	5.2137	4.4176	10.1927
and		0.31	1.4861	0.0	-3.5755	4.0284	0.1589	10.5651
pay		0.2	0.9596	0.0	0.3673	5.7912	2.7911	18.0526
respects		0.48	0.8632	0.0	-0.4157	2.053	-0.167	17.9058
at		0.16	1.1509	0.0	0.3835	1.7098	4.1605	14.7257
what		0.0	1.0	0.0	0.0	0.0	0.0	0.0
amounts		0.0	1.0	0.0	-0.5865	4.6983	2.6249	12.152
to		0.1	0.7193	0.0	-0.7843	0.429	-1.7519	4.5207
the		0.12	0.5755	0.0	-1.7635	1.5747	1.9163	8.8611
sixteen		0.65	1.3365	0.0	-7.5059	6.8473	2.4596	19.0759
acre		0.34	1.2228	0.0	-11.0592	3.808	1.8287	15.5074
burial		0.43	1.0315	0.0	-13.2129	5.9411	4.3701	12.9095
ground		0.24	0.5755	0.0	-15.2369	1.5599	1.6156	12.8459
now	.	0.28	1.3423	1.06	2.1601	2.1045	5.9787	3.8946
as	,	0.13	0.9351	0.0	0.6774	1.2829	4.6704	9.6123
c		0.0	1.0	0.0	0.0	0.0	0.0	0.0
b		0.0	1.0	0.0	0.0	0.0	0.0	0.0
s		0.0	1.0	0.0	0.0	0.0	0.0	0.0
s		0.0	1.0	0.0	1.4109	4.2608	2.9149	13.8853
jim		0.2	0.9596	0.0	1.3142	2.2701	4.4446	9.786
axelrod		0.49	1.0071	0.0	-0.8839	5.4403	2.7425	16.2825
reports		0.43	0.8833	0.0	-1.887	2.6031	-1.0761	19.4043
they're	,	0.13	0.3122	0.37	2.223	0.3141	-0.5841	19.388
putting		0.27	0.5553	0.0	7.1992	6.8819	0.5982	19.2873
the		0.08	0.3841	0.0	6.7852	3.0722	3.6273	13.0595
finishing		0.43	0.6877	0.0	7.0839	4.0847	2.6982	14.6125
touches		0.4	0.8215	0.0	1.0164	5.7196	0.4811	18.3237
on		0.11	0.7913	0.0	-9.6112	1.19	4.3277	5.9289
a		0.06	0.8632	0.0	-8.9143	0.3028	5.8363	1.9554
new		0.29	1.3912	0.0	-5.6352	5.326	5.8677	5.2356
way		0.37	1.7739	0.0	-4.9976	4.9369	1.5115	15.5744
for		0.11	0.528	0.0	-4.405	1.0205	-2.7618	10.3328
people		0.28	0.6718	0.0	-0.0021	6.623	-2.357	18.8707
to		0.15	1.079	0.0	-0.693	2.314	-0.917	19.9917
visit		0.4	1.1509	0.0	2.047	5.2972	-0.6758	17.9299
and		0.24	1.1509	0.0	-0.1451	4.7695	3.8538	7.3393
view		0.26	0.9351	0.0	-0.278	3.943	4.0516	11.5551
the		0.12	0.5755	0.0	-2.3453	0.6615	-0.5598	12.215
scene		0.33	0.9495	0.0	-1.6941	5.9959	2.4067	9.8327
forget	.	0.33	0.7913	1.49	6.5371	5.1997	-0.105	21.4278
the		0.14	0.6718	0.0	10.9132	5.1772	1.8386	19.2738
empire		0.38	0.9107	0.0	8.8569	8.5849	1.1445	14.4946
state		0.34	0.9783	0.0	0.3352	5.2529	-1.1725	17.7817
building		0.31	0.5568	0.0	-7.0948	7.3184	0.0294	16.568
or		0.1	0.7193	0.0	-6.6434	0.6001	3.3383	7.1006
the		0.1	0.4791	0.0	-7.1521	1.0417	-2.3354	12.5567
statue		0.45	1.079	0.0	-12.6646	9.8482	-0.0703	19.2864
of		0.14	1.0071	0.0	-19.2122	1.9048	-2.0579	14.7144
liberty		0.29	0.5956	0.0	-16.0045	4.8816	0.6806	16.4802
there's	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
a		0.0	1.0	0.0	0.9757	1.8821	1.6259	13.2879
new		0.17	0.8157	0.0	4.4109	5.1983	4.8751	8.6705
place		0.38	1.0934	0.0	-4.7198	10.4238	-1.2483	15.8487
in		0.08	0.5755	0.0	-6.2508	1.213	-1.0814	4.8822
new		0.12	0.5755	0.0	-5.572	0.6105	1.0558	7.207
york		0.42	1.5106	0.0	-3.4505	5.9903	-0.5297	18.1662
where		0.18	0.5179	0.0	6.4917	1.7764	0.0396	17.2415
the		0.09	0.4316	0.0	7.1457	0.513	-0.4431	16.7967
crowds		0.41	0.9826	0.0	7.991	3.4832	-0.4857	20.0356
are		0.17	0.8157	0.0	3.8943	4.9987	-3.37	16.7586
thickest		0.51	0.9179	0.0	-2.5812	5.8467	-3.487	20.3636
ground		0.42	1.0071	0.55	-5.1511	5.21	1.1701	16.3451
zero		0.26	0.9351	0.0	-5.9381	5.9523	1.9966	5.8112
i've	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
taken		0.0	1.0	0.0	-6.9583	3.6599	-1.9119	13.5445
my		0.36	2.5896	0.0	-9.107	2.6511	-0.8013	8.1179
step		0.26	0.9351	0.0	-6.6534	2.4192	-0.8554	16.4975
daughter		0.36	0.6474	0.0	-9.1173	2.0507	1.1092	10.1438
here		0.35	1.2588	0.0	-9.8099	1.8196	-0.0998	11.448
from		0.2	0.7193	0.0	-9.6705	0.8327	-1.5995	10.4096
indianapolis		1.09	1.3063	0.0	-8.7273	4.0093	-0.5747	15.0583
