word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
a		0.06	0.8631	16.07	-13.9549	0.278	8.0252	13.3206
public		0.72	1.7261	0.0	-9.2606	8.2317	1.2663	25.7881
dewey	,	0.3	0.8631	0.65	-2.9398	6.2523	10.8402	10.3069
long		0.34	1.2227	0.0	-3.768	4.2644	11.228	7.6222
ago		0.26	1.2471	0.0	-7.035	4.4297	11.1631	5.3206
observed		0.58	1.0429	0.0	-8.7365	6.1639	3.2914	23.6293
is	,	0.0	1.0	0.0	0.0	0.0	0.0	0.0
constituted		0.0	1.0	0.0	-6.6268	10.375	4.3773	24.3697
through		0.16	0.3294	0.0	-8.5202	2.4352	0.7478	23.5926
discussion		0.6	0.8631	0.0	-11.368	4.9203	4.1166	24.2841
and		0.17	0.8156	0.0	-14.3348	2.8922	9.3669	11.9868
debate		0.56	1.3421	0.0	-16.2231	6.8598	-1.27	26.2359
if	.	0.19	1.3665	2.05	0.0	0.0	-3.7328	22.1741
we		0.17	1.2227	0.0	13.6438	3.1624	9.8804	21.1572
are		0.14	0.6717	0.0	12.3301	3.7913	8.557	18.3425
to		0.18	1.2946	0.0	10.9122	5.3627	1.398	18.7545
call		0.32	1.1507	0.0	10.1857	6.1661	6.4613	21.263
the		0.09	0.4315	0.0	10.6671	0.7913	7.2143	2.5258
tyranny		0.48	0.9868	0.43	-2.0986	10.1253	8.0163	27.8832
of		0.14	1.0069	0.0	-7.2108	2.8412	4.0074	18.809
assumptions		0.87	1.1378	0.0	-8.4436	7.1628	1.8202	27.67
into		0.22	0.7911	0.45	-6.6089	3.7334	3.67	21.488
question		0.64	1.1507	0.0	-6.323	9.253	4.5834	24.3316
and	,	0.12	0.5754	1.07	-6.9753	2.0206	12.4372	2.941
avoid		0.44	1.2658	0.0	-7.0997	7.2532	5.7391	21.0682
doxa		0.49	1.7621	0.0	-6.9885	1.5167	0.5742	22.5521
the	,	0.08	0.3841	0.66	-7.9928	2.2856	9.5488	10.0376
realm		0.56	1.611	0.0	-6.49	3.3902	4.2449	28.2893
of		0.22	1.5823	0.0	-8.2416	2.2923	-0.5424	27.9187
