word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
thank		0.0	1.0	0.0	0.0	0.0	0.0	0.0
you		0.0	1.0	0.0	0.0	0.0	0.0	0.0
it's	.	0.0	1.0	0.0	-3.9849	4.159	7.3309	10.33
really		0.38	0.8462	0.0	-2.6177	2.1622	10.3382	9.0446
an		0.09	0.6016	0.0	-4.1488	1.0831	8.5966	9.3409
honor		0.37	0.9892	0.0	-4.2792	1.6368	9.4619	8.8558
and		0.12	0.5347	0.0	-4.4686	0.7507	8.5631	12.1662
a		0.03	0.401	0.0	-3.4314	0.6879	-2.6754	1.5269
privilege		0.55	0.8168	0.0	-3.8864	5.1395	5.8173	16.9937
to		0.13	0.8689	0.0	-1.9865	4.622	2.095	14.9412
be		0.18	1.2031	0.0	-4.8284	0.8674	4.4074	20.9314
here		0.34	1.1363	0.0	-6.155	3.2295	7.7537	15.7045
spending		0.36	0.6016	0.53	-3.5657	2.1628	-1.0503	34.5974
my		0.12	0.8021	0.0	-4.3097	0.4293	9.3056	8.1891
last		0.41	1.3702	0.0	-4.5646	1.3666	2.6483	28.9722
day		0.15	0.6684	0.0	-4.5648	1.7719	7.7939	29.4107
as		0.08	0.5347	0.0	-4.3666	1.7224	-0.5245	16.2236
a		0.07	0.9358	0.0	-4.5623	0.8718	3.0365	19.9232
teenager		0.64	1.0694	0.0	-6.7459	6.7023	4.2676	25.5008
today	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
i		0.0	1.0	0.0	1.1882	1.9583	8.4911	20.4016
want		0.17	0.5681	0.0	3.0876	4.3446	10.4177	7.0061
to		0.06	0.401	0.0	6.1714	1.3552	1.1632	18.113
talk		0.27	0.9023	0.0	4.0617	4.0535	1.8825	26.0767
to		0.1	0.6684	0.0	2.3687	0.1017	-2.4748	17.0809
you		0.06	0.2674	0.0	1.8861	1.1497	9.0023	7.4272
about		0.22	0.5882	0.0	-0.7366	2.8974	1.1018	23.6172
the		0.07	0.3115	0.0	-0.9385	0.6507	-1.7714	17.8301
future		0.63	1.4036	0.0	0.0116	9.3228	-0.583	27.2182
but	,	0.31	1.3809	0.0	9.2988	6.2856	1.7437	24.6157
first		0.56	1.4972	0.34	-6.2045	9.0558	-4.401	35.2849
i'm		0.14	0.9358	0.0	-0.8342	2.189	6.5237	30.4598
