word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
i		0.03	0.4443	15.97	2.0954	0.0	0.0	0.0
don't		0.17	0.6295	0.0	4.1959	4.6804	9.6682	11.1658
know		0.14	0.5184	0.0	1.5625	0.8535	10.5519	5.5033
about		0.31	0.9183	0.0	-1.3524	5.3679	8.2688	16.3649
you		0.36	1.7774	0.0	-3.3135	6.6757	7.5829	17.9919
but	,	0.21	1.0368	0.0	-4.6035	2.4146	-1.1854	24.369
i		0.16	2.3698	0.0	-3.7836	1.2623	2.2056	20.9066
haven't		0.19	0.4695	0.0	-4.9858	1.1899	5.0436	11.3196
quite		0.26	0.7702	1.29	-1.8915	2.9484	2.2059	25.2655
figured		0.29	0.6132	0.0	-3.9246	4.0476	2.8342	18.3339
out		0.21	1.0368	0.0	-7.1577	1.3691	7.453	19.0112
exactly		0.46	0.9731	0.0	-6.2751	4.6609	-0.4337	20.8331
what		0.18	0.6665	0.0	-8.1857	1.696	-1.1195	16.7393
technology		0.69	1.022	0.46	-7.4806	4.1919	-0.5721	25.4598
means		0.32	0.9479	0.0	-7.6942	4.3284	-1.0342	12.5806
in		0.06	0.4443	0.0	-8.6728	0.3113	-1.4065	5.3854
my		0.14	1.0368	0.0	-9.1844	0.499	3.651	4.6447
life		0.3	1.1109	0.0	-8.8498	2.5925	5.0983	6.2472
i've	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
spent		0.0	1.0	0.0	6.2876	3.5905	-4.1284	26.107
the		0.08	0.3955	0.0	6.3313	0.6543	-1.4684	12.8579
past		0.37	1.3701	0.0	5.5371	3.1679	-2.7789	25.7695
year		0.32	1.1849	0.0	5.5017	1.2861	5.4711	19.6931
thinking		0.3	0.5554	0.37	-0.1691	2.6707	1.2538	27.56
about		0.43	1.2738	0.0	-5.6951	8.8608	6.6938	23.0122
what		0.19	0.7035	1.37	-3.9339	3.1164	6.4397	25.125
it		0.32	2.3698	0.0	-2.4223	1.1491	-3.19	31.0894
really		0.67	1.6544	0.61	-2.3705	5.275	4.398	33.4398
should		0.24	0.5925	0.0	-3.4312	2.5187	-5.5135	30.9815
be		0.11	0.8146	0.0	-4.5535	1.8923	7.5752	13.2945
about		0.33	0.9776	0.0	-5.0661	1.7066	9.6991	18.4864
should	.	0.16	0.3955	0.0	5.8842	3.7239	2.469	8.7773
i		0.06	0.8887	0.0	4.7025	0.4042	9.2832	3.4838
be		0.26	1.9255	0.0	4.0318	2.8593	4.2957	14.1699
pro		0.44	2.1728	0.8	0.1049	3.2399	6.3174	30.8778
technology		0.74	1.0961	0.0	-1.6528	2.1055	3.4515	30.4262
should	?	0.19	0.4695	0.0	-4.0883	3.9935	-2.0441	23.0393
i		0.03	0.4443	0.0	-5.9474	0.2083	10.1448	0.4842
embrace		0.33	0.6976	0.0	-5.35	3.9395	4.7301	17.4873
it		0.12	0.8887	0.0	-4.0963	0.2472	-8.0614	9.41
full		0.18	0.6665	0.0	-3.9448	1.0098	-2.6428	26.823
arms		0.54	1.9996	0.0	-4.9425	1.1601	0.2863	32.1444
should	?	0.26	0.6413	0.0	5.001	2.7078	-0.9733	23.8162
i		0.07	1.0368	0.0	4.7549	0.2392	10.6368	1.4302
be		0.21	1.5552	0.0	4.5981	2.6231	4.0745	11.7962
wary		0.38	1.4071	0.0	4.3452	7.6504	6.4453	14.5934
like	?	0.17	0.6295	0.74	-4.0071	0.6256	4.8736	17.5272
you		0.19	0.9376	0.0	-3.5927	1.9278	8.7127	15.0637
i'm	,	0.23	1.7033	0.0	-5.1916	1.4996	5.8614	19.2433
very		0.31	1.1479	0.0	-6.4555	5.449	4.7994	19.9154
tempted		0.33	0.6976	0.0	-3.6654	5.1111	0.912	22.8541
by		0.15	1.1109	0.0	-5.5103	1.3073	7.6753	19.4914
the		0.09	0.4443	0.0	-6.7113	0.9184	5.9363	6.1227
latest		0.32	0.7895	0.0	-6.2706	2.4115	1.8913	23.3233
thing		0.35	1.0368	0.0	-2.6663	3.9148	2.8347	24.878
but	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
at		0.0	1.0	0.0	3.5165	1.4631	7.6925	19.502
the		0.12	0.5925	0.0	3.3574	1.1049	-0.5626	18.2075
other		0.26	0.7702	0.0	3.2796	2.568	6.0501	22.8256
hand		0.3	1.1109	0.0	1.2489	4.5922	5.903	14.9659
a	,	0.19	2.8142	0.0	-1.9567	4.5954	10.3003	13.6601
couple		0.16	0.3955	0.0	0.0762	4.2632	2.1803	15.8942
of		0.06	0.4443	0.0	-0.8683	1.8568	8.7238	3.3719
years		0.19	0.5628	0.0	-1.434	2.3702	6.7157	16.8519
ago		0.28	1.3819	0.0	-2.4377	2.4382	3.177	24.1455
i		0.14	2.0736	0.0	-3.7039	0.7188	8.8998	4.3513
gave		0.27	0.9998	0.0	-3.3436	3.2002	5.3825	14.5628
up		0.2	1.4812	0.0	-4.4397	1.2849	5.288	19.6591
all		0.14	0.6917	1.06	-3.814	1.2798	6.2126	21.5406
of		0.13	0.9627	0.0	-2.6995	1.7362	5.1827	11.683
my		0.18	1.333	0.0	-3.5428	2.3487	5.4056	18.7543
possessions		0.58	0.7806	0.0	-4.9803	4.4046	3.2767	18.6959
sold	,	0.18	0.6665	0.0	-4.7848	1.5664	7.3341	11.3423
all		0.09	0.4443	0.0	-3.7542	1.2624	9.6429	4.384
my		0.1	0.7406	0.0	-4.5022	1.6864	9.2594	2.8656
technology		0.71	1.0516	0.0	-5.3646	4.7111	3.0044	20.4706
except		0.28	0.6917	0.0	-7.7104	6.4504	-2.0164	21.4603
for		0.1	0.4932	0.0	-6.5883	3.483	-4.7866	20.9427
a		0.07	1.0368	0.0	-6.8737	1.6585	4.4055	9.3522
bicycle		0.56	1.1849	0.0	-5.9757	1.5483	1.9654	28.7665
and		0.16	0.7895	0.49	4.1611	2.1754	4.2696	1.3612
rode		0.15	0.5554	0.0	4.8759	1.0334	6.0141	6.5464
across		0.59	1.456	0.0	5.6285	2.364	-3.5197	31.5706
three		0.2	0.5925	0.0	5.8435	0.6307	-9.7541	31.8626
thousand		0.32	0.5925	0.0	4.8262	4.2018	0.6168	21.0958
miles		0.37	1.0961	0.0	4.058	1.9792	1.2788	23.636
on		0.14	1.0368	0.0	4.4214	2.4492	-4.4681	20.5381
the		0.09	0.4443	0.0	3.0403	0.0922	2.7883	1.6367
