word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
what		0.0	1.0	0.0	0.0	0.0	0.0	0.0
i		0.0	1.0	0.0	3.4473	3.3935	7.0971	5.4822
want		0.14	0.5818	0.0	5.5465	2.0575	8.5473	2.6705
to		0.08	0.6649	0.0	4.1106	6.6083	5.622	14.4685
talk		0.24	0.9973	0.0	4.7864	2.2417	0.879	18.5854
about		0.47	1.5625	0.0	-0.1128	6.3132	0.1584	22.4458
is		0.22	1.8284	0.0	-1.3996	3.2753	6.2458	18.1721
as	,	0.17	1.4129	1.21	-2.9587	4.9797	3.7411	16.7019
background		0.53	0.881	0.0	-2.3511	6.2006	2.5368	19.2312
is	,	0.13	1.0804	0.36	-1.5858	2.8199	5.2051	10.0185
the		0.09	0.4987	0.0	-0.3458	3.0207	6.0887	11.2229
idea		0.26	1.0804	0.0	-0.6926	5.4705	6.617	6.8551
that		0.11	0.4571	0.0	-1.2945	1.8685	0.6245	21.7067
cars		0.28	1.1636	0.0	-0.9219	6.0929	1.4459	22.6077
are		0.1	0.5535	0.0	-3.0057	2.596	7.444	8.0667
art		0.32	1.7736	0.0	-4.486	6.8158	1.3987	21.0118
this	.	0.11	0.4571	1.32	-2.3723	2.657	7.0802	9.444
is		0.06	0.4987	0.0	-2.6861	2.4438	2.8867	5.0584
actually		0.33	0.6865	0.0	0.7191	4.5002	2.3783	19.7317
quite		0.2	0.6649	0.0	-1.6914	4.5037	0.2331	18.6555
meaningful		0.5	0.8311	0.0	-1.621	8.4068	2.7746	19.0841
to		0.93	7.7293	0.0	-4.7362	5.0823	-5.7241	31.2952
me		0.46	3.8231	0.0	-2.9701	2.5492	0.8278	26.1343
because	,	0.48	1.1403	0.51	-1.3812	15.7879	2.2713	23.3879
car		0.25	1.3846	0.0	-2.1448	6.1296	1.418	20.5661
designers		0.47	0.8677	0.0	-3.1646	4.2348	3.6961	20.5682
tend		0.19	0.7896	0.0	-2.8695	6.4121	-0.6813	22.683
to		0.07	0.5818	0.0	-6.5657	2.8538	-2.6992	3.8343
be		0.08	0.6649	0.0	-4.8131	4.2976	3.5577	14.4676
a		0.03	0.4987	0.0	-3.5497	0.6954	7.6372	2.6248
little		0.12	0.3324	0.0	-3.6426	1.6717	7.4621	6.8547
bit		0.14	0.7763	0.0	-4.0251	1.7451	1.1337	19.0395
low		0.15	0.8311	0.0	-3.9618	2.504	7.819	9.4974
on		0.12	0.9973	0.0	-3.1146	2.2614	6.9515	9.1995
the		0.07	0.3873	0.0	-6.5797	2.9021	3.3368	6.4194
totem		0.31	1.0306	0.0	-12.4539	9.6281	0.9168	20.2849
pole		0.19	0.7896	0.0	-13.931	2.7018	-4.0625	25.1151
