word	punctuation	word.duration	speech.rate.norm	pause	mean.f0	range.f0	mean.i0	range.i0
i		0.93	12.8818	11.2	0.0	0.0	0.0	0.0
listened		0.32	0.5541	3.6	3.898	5.6438	6.0814	17.1254
to		0.12	0.8311	0.0	2.1328	3.3359	7.0218	21.0231
this		0.42	1.4544	0.0	0.1739	2.784	3.3098	17.3689
scientist		0.63	0.9696	0.0	1.1099	5.6992	5.0781	19.902
this		0.17	0.5887	0.0	-1.2285	1.7664	1.8965	10.277
morning		0.35	0.6926	0.0	0.0881	2.2566	6.616	23.3606
doctor	.	0.45	1.0389	1.72	-0.259	1.6062	3.6306	23.3759
mullis		0.52	1.2009	0.0	0.4776	1.9716	3.7839	26.2568
was		0.21	0.9696	0.0	-0.3526	2.4193	2.7228	19.1975
talking		0.34	0.6732	0.0	0.3646	2.2504	4.2777	20.7193
about		0.25	0.6926	0.0	-2.2182	2.8001	5.7916	14.6375
his		0.76	3.5086	0.0	-1.718	1.9622	-2.8875	28.9851
experiments		0.66	0.8311	0.0	-0.8907	6.3937	3.4093	28.1119
and	,	0.12	0.5541	0.0	-1.604	0.8927	4.5184	9.9397
i		0.2	2.7703	0.0	-1.0039	0.7393	8.8635	7.6209
realized		0.48	0.8311	0.8	0.7364	5.1634	9.5253	18.92
that		0.13	0.4502	0.0	-0.7958	1.1209	8.294	19.0868
i		0.1	1.3851	0.0	0.15	1.6748	13.728	1.3363
almost		0.29	0.669	0.0	1.165	2.7122	4.9849	23.9152
became		0.28	0.6469	0.0	-0.1255	3.9107	2.7278	19.2778
a		0.07	0.9696	0.0	-1.2738	1.4738	1.3797	10.0558
scientist		0.53	0.8159	0.0	0.0331	3.9679	0.0342	20.1795
when	.	0.0	1.0	0.0	0.0	0.0	0.0	0.0
i		0.0	1.0	0.0	0.0	0.0	0.0	0.0
was		0.0	1.0	0.0	-0.0014	1.6829	-1.4932	25.1248
fourteen		0.75	1.2993	0.0	1.3725	2.7055	1.5311	31.7949
my		0.0	1.0	0.0	0.0	0.0	0.0	0.0
parents		0.0	1.0	0.0	-0.0998	4.1583	3.1088	22.2302
bought		0.25	0.5776	0.0	0.0702	1.6886	3.4525	25.8743
me		0.08	0.5541	0.0	-0.8671	1.4855	4.5129	5.3306
a		0.05	0.6926	0.0	-1.9395	0.7568	5.1447	4.8167
chemistry		0.54	0.8311	0.0	-0.0129	6.0378	1.8252	23.1301
set		0.27	1.2466	0.0	-2.8711	2.6911	0.2097	18.5851
and		0.15	0.6926	2.83	0.1711	5.3458	12.0817	5.7645
i		0.05	0.6926	0.0	0.1229	0.3609	14.0233	1.7166
decided		0.53	1.0486	0.0	0.5463	3.2993	4.2708	20.9329
to		0.08	0.5541	0.0	-0.208	2.3638	2.8314	15.8977
make		0.22	0.7618	0.0	-0.6869	1.6756	5.8326	17.5198
water		0.59	1.6345	0.0	-0.2511	2.2802	10.0951	13.7405
so	.	0.17	1.1774	8.59	-0.268	5.5146	4.5616	15.5341
i	,	0.16	2.2162	0.0	2.5065	0.4934	14.2325	3.2904
made		0.28	0.9696	0.0	3.008	1.9037	12.2538	8.9238
a		0.09	1.2466	0.0	0.8989	1.206	14.1132	4.104
hydrogen		0.55	0.953	0.0	3.8664	5.3458	6.6311	20.1027
generator		0.62	0.9544	0.0	3.746	7.2587	8.8925	19.3574
and		0.09	0.4155	1.41	10.99	0.1988	9.3013	8.8169
i		0.04	0.5541	0.0	11.5726	0.42	13.0556	1.1758
made		0.22	0.7618	0.0	11.6197	0.4282	10.6787	7.465
an		0.1	0.6926	0.0	0.0	0.0	11.6963	7.0034
oxygen		0.55	1.2702	0.0	8.3745	4.6177	2.7966	22.7912
generator		0.54	0.8311	0.0	6.8305	2.7473	1.0343	17.0138
and	,	0.11	0.5083	0.0	-4.2454	1.0961	4.9062	9.2057
i		0.03	0.4155	0.0	-3.7381	0.8837	9.1063	0.3083
had		0.19	0.8768	0.0	-1.8385	2.4355	6.9167	12.8701
the		0.07	0.3227	0.0	-1.7626	1.2653	2.748	5.9321
two		0.2	0.9239	0.0	0.1759	3.0168	1.2256	22.2483
pipes		0.39	1.0804	0.0	-0.4888	2.5163	0.3722	24.3468
leading		0.28	0.5541	0.0	-0.4373	1.8204	8.3086	6.0183
into		0.28	0.9696	0.0	-1.6849	1.7252	4.5948	17.3251
a		0.09	1.2466	0.0	-2.6777	2.0181	3.5922	13.208
beaker		0.45	1.0389	0.0	-1.2207	3.6659	4.5773	19.6305
and		0.0	1.0	0.0	0.0	0.0	0.0	0.0
i		0.0	1.0	0.0	-2.305	0.8333	10.2589	9.8508
threw		0.23	0.6372	0.0	0.1755	4.0369	5.6276	20.391
a		0.06	0.8311	0.0	-1.0685	0.4752	9.8297	7.531
match		0.38	1.0527	0.0	-0.6735	0.9268	6.4368	16.3433
in		0.13	0.9003	0.0	0.0	0.0	0.9055	2.0626
and	.	0.22	1.0153	2.63	0.0777	1.5827	11.652	5.9805
the		0.4	1.8464	0.0	-0.286	1.9393	4.7394	25.0915
glass		0.42	1.1635	0.0	2.3914	4.6392	8.1247	25.8317
luckily		0.48	0.9502	1.39	2.1937	6.1515	5.0836	22.6451
i		0.08	1.1081	0.0	0.0	0.0	0.0	0.0
turned		0.31	0.7161	0.0	0.0	0.0	0.0	0.0
around		0.4	0.9239	0.0	0.0	0.0	0.0	0.0
i		0.06	0.8311	0.0	-1.109	0.0102	9.7555	0.0
had		0.14	0.6469	0.0	0.7778	1.9639	10.4614	7.0047
it		0.07	0.4848	0.0	-0.1119	0.3753	6.7167	6.1866
all		0.23	1.0624	0.0	0.7702	2.0274	13.2567	4.3488
in		0.09	0.6233	0.0	-0.5947	2.9532	6.4139	5.5463
my		0.14	0.9696	0.0	-2.7338	1.4161	7.4646	7.1156
back		0.4	1.3851	0.0	-1.7084	3.9295	5.3749	21.6705
and		0.0	1.0	0.0	0.0	0.0	0.0	0.0
i		0.0	1.0	0.0	0.0	0.0	11.7162	2.0796
was		0.49	2.2619	0.0	11.1699	1.1794	0.5772	27.3044
about		0.38	1.0527	0.0	9.4796	5.8683	-1.5189	30.1504
fifteen		0.49	0.9696	0.0	2.9204	6.3705	2.2957	30.0805
feet		0.22	0.7618	0.0	1.7044	3.1988	1.2321	22.9619
away		0.3	1.0389	0.0	0.1493	2.3311	11.7378	6.5263
the	.	0.09	0.4155	0.0	-2.0219	1.531	9.761	5.3001
wall		0.39	1.3505	0.0	-0.8481	3.1619	10.9709	8.8341
was		0.16	0.7383	0.0	-0.3235	1.055	0.6945	16.5647
covered		0.44	0.8713	0.0	-0.5651	5.561	3.2732	27.306
with		0.15	0.5194	0.0	-3.6317	1.3473	4.4815	4.7333
i		0.09	1.2466	1.33	1.0336	4.2482	10.3395	1.3978
had		0.14	0.6469	0.0	-0.1386	1.6128	8.2516	4.1545
an		0.11	0.7618	0.0	-1.8415	1.9686	3.6914	6.9118
explosion		0.48	0.7383	0.0	0.8789	5.2124	1.9774	29.7038
really	.	0.22	0.5083	0.0	11.1567	7.9712	8.9676	6.119
people	?	0.24	0.5541	0.0	4.4136	2.4762	9.8142	15.564
on		0.11	0.7618	0.0	1.8412	2.0671	10.9667	5.2146
the		0.07	0.3227	0.0	-0.5042	1.8647	7.0279	6.8166
street		0.36	0.8311	0.0	2.5221	5.0793	0.0194	24.2601
came		0.17	0.5887	0.0	0.9257	1.135	0.1018	24.382
and		0.0	1.0	0.0	0.0	0.0	0.0	0.0
knocked		0.0	1.0	0.0	1.8022	2.4997	5.3748	19.1079
on		0.07	0.4848	0.0	1.0505	1.9941	8.299	7.1071
the		0.14	0.6469	0.0	-0.3326	1.452	4.5878	7.9587
door		0.19	0.6579	0.0	0.5435	2.4395	8.7921	15.2371
to		0.07	0.4848	0.0	-0.9904	1.1941	-0.3854	0.3908
see		0.13	0.5998	0.0	0.8792	2.1395	-1.0257	15.8294
if		0.13	0.9003	0.0	-0.4152	2.9875	6.6155	15.3008
