word|punctuation_before|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
thank||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
you||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
so||0.0|0.0|0.0|0.0|0.0|5.3255|3.2363|6.5251|1.0204|0.0
much||0.0|-2.0122|2.4837|2.7296|0.8261|2.6778|11.4081|11.4081|3.4806|-0.6656
chris|,|0.0|-3.6721|3.1569|5.2258|1.2494|3.2845|11.2654|11.4081|3.5112|-1.0378
and|.|0.0|6.2371|0.8977|12.2775|0.3017|4.099|1.8172|11.2654|0.7219|0.246
it's||0.0|5.8395|2.3367|2.3367|0.675|3.6738|7.8872|7.8872|2.374|-1.0547
truly||0.0|5.0625|0.0854|2.3367|0.0257|7.4429|2.6575|10.1884|0.6995|0.9044
a||0.0|5.1189|0.0224|0.1123|0.0084|6.8102|2.7607|3.0196|1.0564|2.2211
great||1.39|-4.7463|2.7492|11.1805|1.0527|2.8292|17.4724|17.7094|5.7982|-0.7756
honor||0.0|-4.4157|4.2162|4.2162|1.3721|5.8858|7.7184|17.4925|1.9884|0.1144
to||0.0|-6.7316|0.8368|4.6784|0.2943|2.2753|6.3398|9.2255|2.3565|0.5752
have||0.0|-4.5577|3.3398|3.5563|0.8529|2.4711|13.0221|13.0221|4.6755|-0.4722
the||0.0|-7.3705|2.0202|5.0504|0.6243|3.7347|9.9116|13.0221|3.0423|0.1144
opportunity||0.0|-5.4076|4.9041|5.1558|1.411|0.3039|20.6658|20.6658|5.9925|0.4312
to||0.0|-8.5776|0.5174|5.5416|0.2201|-0.2789|10.0223|20.6658|4.4162|1.0361
come||0.0|-5.1785|5.7009|5.8627|2.0889|-2.795|22.1752|22.1752|8.8965|-0.5269
to||0.0|-5.8605|1.3997|5.7009|0.4501|1.6158|2.9441|22.1752|1.1287|2.2211
this||0.0|-7.2279|1.0763|2.7485|0.3947|0.2694|13.4182|13.4182|5.0044|0.246
stage||0.0|-6.4302|2.3988|2.716|0.6471|-4.2356|26.4541|26.4541|7.7108|-1.0378
twice||0.0|-5.6001|3.998|4.2226|1.1346|-4.0377|28.6098|28.6098|9.6824|-1.1408
i'm|.|0.0|-8.9858|2.3142|6.6013|0.7214|1.2543|6.7727|28.6098|1.9769|0.1144
extremely||0.34|-13.3566|11.2819|11.2819|2.7506|-1.2683|23.4281|23.4281|7.5879|0.4396
grateful||0.0|-18.8675|2.3521|12.7081|0.6393|-0.8531|20.1365|23.4281|6.8024|-0.1025
i|.|0.38|-4.9016|8.0261|18.2126|2.8052|6.5875|11.5054|23.9584|3.1828|-0.4722
have||0.0|-2.3224|4.3315|8.7061|1.4244|2.2944|15.4677|16.4224|5.5709|-0.4124
been||0.0|-3.6534|2.3624|4.3315|0.9081|4.2611|12.6345|15.4677|3.764|-0.3465
blown||0.0|-4.6856|7.0329|7.0329|1.912|4.7219|10.2332|12.8577|2.8312|-1.1648
away||0.0|-4.1091|4.1798|7.0947|1.2477|5.7616|5.2295|10.2332|1.2366|-0.2737
by||0.0|-6.4438|1.8371|5.9313|0.4216|3.1923|12.4968|13.1306|4.2638|-0.705
this||0.0|-6.2043|3.8995|3.8995|1.0461|-4.1627|20.1595|21.084|6.0594|-0.9391
conference||0.33|-5.9102|2.5381|4.3496|0.9268|-5.0083|33.5485|33.5485|9.0658|-0.5769
and|,|0.33|-7.768|1.1674|3.7997|0.4159|4.3697|4.9239|33.5485|1.7588|0.3979
i||0.0|-7.6984|0.4773|1.1674|0.1834|6.3232|1.9552|5.0564|0.7561|2.8795
