word|punctuation_before|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
what||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
i||0.0|3.4473|3.3935|4.9857|1.2975|7.0971|5.4822|9.1784|2.0556|0.0
want||0.0|5.5465|2.0575|4.9299|0.7728|8.5473|2.6705|6.0058|0.77|-0.0539
to||0.0|4.1106|6.6083|6.6083|2.4275|5.622|14.4685|14.4685|5.2254|1.2006
talk||0.0|4.7864|2.2417|6.6083|0.5127|0.879|18.5854|18.5854|6.4806|-0.7509
about||0.0|-0.1128|6.3132|7.2065|1.3381|0.1584|22.4458|22.4458|6.7499|-0.7302
is||0.0|-1.3996|3.2753|8.6318|0.8912|6.2458|18.1721|22.4458|5.9788|-0.6622
as|,|1.21|-2.9587|4.9797|5.5927|1.6826|3.7411|16.7019|18.1721|5.7537|-0.3491
background||0.0|-2.3511|6.2006|6.6609|1.9388|2.5368|19.2312|19.2312|5.488|-0.843
is|,|0.36|-1.5858|2.8199|6.2006|1.0267|5.2051|10.0185|19.2312|3.9769|0.0747
the||0.0|-0.3458|3.0207|3.8541|1.0289|6.0887|11.2229|11.7307|4.184|0.8753
idea||0.0|-0.6926|5.4705|5.4705|1.5982|6.617|6.8551|11.5213|2.1045|0.0747
that||0.0|-1.2945|1.8685|5.4705|0.4705|0.6245|21.7067|22.2337|7.7537|0.4022
cars||0.0|-0.9219|6.0929|6.0929|1.5915|1.4459|22.6077|22.6946|7.4086|-0.8903
are||0.0|-3.0057|2.596|6.0929|0.9066|7.444|8.0667|22.6077|2.6963|0.6151
art||0.0|-4.486|6.8158|6.8158|1.6711|1.3987|21.0118|21.0118|7.5009|-0.9948
this|.|1.32|-2.3723|2.657|6.8158|0.8743|7.0802|9.444|21.5886|3.8154|0.4022
is||0.0|-2.6861|2.4438|3.1746|0.8253|2.8867|5.0584|9.9054|1.9101|2.1763
actually||0.0|0.7191|4.5002|5.6742|1.2602|2.3783|19.7317|19.7317|6.5055|0.4022
quite||0.0|-1.6914|4.5037|6.6311|1.1773|0.2331|18.6555|19.7317|6.4791|-0.5558
meaningful||0.0|-1.621|8.4068|8.4068|2.197|2.7746|19.0841|20.3563|5.4183|-0.3216
to||0.0|-4.7362|5.0823|8.4806|1.1708|-5.7241|31.2952|31.6873|8.827|-1.4748
me||0.0|-2.9701|2.5492|5.7579|0.7224|0.8278|26.1343|31.2952|8.0479|-1.2176
because|,|0.51|-1.3812|15.7879|15.7879|4.0565|2.2713|23.3879|29.9808|7.5641|-0.7509
car||0.0|-2.1448|6.1296|15.7879|2.3255|1.418|20.5661|23.468|6.9281|-0.7899
designers||0.0|-3.1646|4.2348|6.8054|1.1222|3.6961|20.5682|22.8189|4.7033|-0.2319
tend||0.0|-2.8695|6.4121|6.4121|1.465|-0.6813|22.683|23.0629|8.7814|-0.4941
to||0.0|-6.5657|2.8538|7.2945|0.8663|-2.6992|3.8343|22.683|1.3655|1.6187
be||0.0|-4.8131|4.2976|5.607|1.8302|3.5577|14.4676|15.4964|6.3734|1.2006
a||0.0|-3.5497|0.6954|4.2976|0.3029|7.6372|2.6248|14.4676|1.3146|6.0793
little||0.0|-3.6426|1.6717|1.6717|0.5561|7.4621|6.8547|6.8547|2.05|2.1763
bit||0.0|-4.0251|1.7451|2.1702|0.4652|1.1337|19.0395|19.0395|6.0561|-0.0539
low||0.0|-3.9618|2.504|2.504|0.8372|7.819|9.4974|19.8491|2.6541|-0.1655
on||0.0|-3.1146|2.2614|2.8845|0.7309|6.9515|9.1995|9.7165|3.1498|0.2248
the||0.0|-6.5797|2.9021|5.7338|1.0463|3.3368|6.4194|12.1302|2.0954|1.6187
totem||0.0|-12.4539|9.6281|12.7567|2.2229|0.9168|20.2849|20.2849|7.1|-0.2158
pole||0.0|-13.931|2.7018|9.6281|0.6632|-4.0625|25.1151|25.1151|10.4508|-0.4941
we||0.0|-4.0556|1.5988|12.4249|0.4207|3.2772|7.3716|25.1151|2.9293|0.2248
don't||0.0|-5.0626|3.855|3.855|1.1939|-2.8275|22.917|22.917|7.7528|-0.6622
do||0.0|-5.9939|3.5647|5.0049|1.246|-0.0094|17.7938|22.917|6.1756|-0.1655
coffee||0.0|-2.7132|4.2106|7.1645|1.0765|-0.6758|27.2299|27.2299|8.6515|-0.8903
table||0.0|-4.4551|5.4649|6.3299|1.4948|1.2398|17.4103|27.2299|5.7224|-0.2158
books||0.0|-5.0323|5.2946|6.7331|1.8389|-1.8379|20.3935|20.8093|6.5801|-0.826
with||0.0|-6.1964|3.113|5.2946|1.1827|-2.9694|20.0647|23.2203|7.6105|-0.0539
just||0.0|-4.8006|2.4637|4.0366|0.6171|-7.7672|21.7656|22.98|7.5189|-0.6622
one||0.0|-3.871|2.5286|3.1871|0.8034|5.1585|8.735|26.9406|2.5449|-0.4941
lamp||0.0|-3.9665|2.8936|2.8936|0.7849|2.5012|20.1889|20.996|6.1286|-1.017
inside||0.0|-6.0856|3.4437|4.2868|0.9136|1.4363|16.1001|20.1889|4.906|-0.5843
of||0.0|-6.7172|2.1546|4.425|0.763|-0.4217|9.4415|16.1001|4.2359|2.1763
it||0.0|-4.6183|5.8172|5.8172|1.8988|4.1099|15.6792|15.6792|5.3725|-0.0539
