word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
thank||NN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
you||PRP|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
so||RB|0.0|0.0|0.0|0.0|0.0|5.3255|3.2363|6.5251|1.0204|0.0
much||JJ|0.0|-2.0122|2.4837|2.7296|0.8261|2.6778|11.4081|11.4081|3.4806|-0.6656
chris|,|NN|0.0|-3.6721|3.1569|5.2258|1.2494|3.2845|11.2654|11.4081|3.5112|-1.0378
and|.|CC|0.0|6.2371|0.8977|12.2775|0.3017|4.099|1.8172|11.2654|0.7219|0.246
it's||VB|0.0|5.8395|2.3367|2.3367|0.675|3.6738|7.8872|7.8872|2.374|-1.0547
truly||RB|0.0|5.0625|0.0854|2.3367|0.0257|7.4429|2.6575|10.1884|0.6995|0.9044
a||DT|0.0|5.1189|0.0224|0.1123|0.0084|6.8102|2.7607|3.0196|1.0564|2.2211
great||JJ|1.39|-4.7463|2.7492|11.1805|1.0527|2.8292|17.4724|17.7094|5.7982|-0.7756
honor||NN|0.0|-4.4157|4.2162|4.2162|1.3721|5.8858|7.7184|17.4925|1.9884|0.1144
to||TO|0.0|-6.7316|0.8368|4.6784|0.2943|2.2753|6.3398|9.2255|2.3565|0.5752
have||VB|0.0|-4.5577|3.3398|3.5563|0.8529|2.4711|13.0221|13.0221|4.6755|-0.4722
the||DT|0.0|-7.3705|2.0202|5.0504|0.6243|3.7347|9.9116|13.0221|3.0423|0.1144
opportunity||NN|0.0|-5.4076|4.9041|5.1558|1.411|0.3039|20.6658|20.6658|5.9925|0.4312
to||TO|0.0|-8.5776|0.5174|5.5416|0.2201|-0.2789|10.0223|20.6658|4.4162|1.0361
come||VB|0.0|-5.1785|5.7009|5.8627|2.0889|-2.795|22.1752|22.1752|8.8965|-0.5269
to||TO|0.0|-5.8605|1.3997|5.7009|0.4501|1.6158|2.9441|22.1752|1.1287|2.2211
this||DT|0.0|-7.2279|1.0763|2.7485|0.3947|0.2694|13.4182|13.4182|5.0044|0.246
stage||NN|0.0|-6.4302|2.3988|2.716|0.6471|-4.2356|26.4541|26.4541|7.7108|-1.0378
twice||RB|0.0|-5.6001|3.998|4.2226|1.1346|-4.0377|28.6098|28.6098|9.6824|-1.1408
i'm|.|NN|0.0|-8.9858|2.3142|6.6013|0.7214|1.2543|6.7727|28.6098|1.9769|0.1144
extremely||RB|0.34|-13.3566|11.2819|11.2819|2.7506|-1.2683|23.4281|23.4281|7.5879|0.4396
grateful||JJ|0.0|-18.8675|2.3521|12.7081|0.6393|-0.8531|20.1365|23.4281|6.8024|-0.1025
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
