word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
i|.|NN|3.07|12.2579|8.0186|23.9394|2.667|9.1821|3.0036|20.6481|0.8295|0.3979
know||VBP|0.0|15.4593|1.9471|8.8947|0.5313|8.4524|3.2372|3.517|1.08|-0.623
it||PRP|0.0|13.4594|3.7927|4.3679|1.3487|4.4235|15.8591|16.9412|5.3015|1.7274
sounds||VBZ|0.0|11.9827|4.0474|6.4726|1.0474|4.5961|17.2561|17.3737|6.1631|-0.7756
like||IN|0.0|7.4487|3.3327|8.2222|0.8906|6.0138|10.5647|17.2561|3.779|0.1144
a||DT|0.0|6.5789|1.5196|3.3327|0.5619|8.4922|4.0377|10.5647|1.2572|2.8795
little||JJ|0.0|7.4042|3.7057|4.197|1.2911|6.0539|18.0835|18.0835|4.3645|0.5752
thing||NN|0.0|5.7222|4.4955|7.7181|1.0211|2.0836|24.4848|25.7116|9.1195|-0.7415
to||TO|0.0|-0.2334|1.8563|7.573|0.4677|3.5159|13.5442|24.4848|4.99|-0.1025
you||PRP|0.0|-0.3479|8.843|8.843|3.2053|7.2028|5.8938|15.2036|1.2938|-0.7756
but|,|CC|0.0|-4.7426|2.267|9.6232|0.8713|4.6678|10.7307|10.9882|4.0229|-0.5769
i||VB|6.02|13.8232|1.8927|20.413|0.6209|9.7294|2.1859|11.5837|0.5787|-1.153
looked||VBD|1.79|7.5229|3.8812|8.4565|0.8636|2.2817|20.8694|20.8694|7.3239|-0.8371
in||IN|0.0|4.8757|2.6384|6.5472|0.7232|7.5444|2.7996|20.8694|0.6989|-0.1025
the||DT|0.0|0.4486|4.6865|7.5859|1.5095|8.5141|2.0899|3.0715|0.5662|0.1144
rearview||NN|0.0|0.0|0.0|4.6865|0.0|0.0|0.0|9.5623|0.0|-0.8371
mirror||NN|0.0|2.407|3.5904|3.6517|0.5606|7.093|3.523|8.7842|0.8309|-0.6856
and||CC|0.0|7.5493|1.5296|8.218|0.3493|4.7124|12.0053|13.2548|2.9815|-1.0201
all||DT|1.65|2.4858|5.9402|8.5431|1.4313|3.8459|10.8265|12.2879|2.9601|-1.3503
of||IN|0.0|1.5222|3.8283|6.3778|1.4304|3.8913|5.8267|10.8265|2.4062|1.7274
a||DT|0.0|-1.0539|1.5343|5.0669|0.5996|2.614|12.0477|12.2689|4.2962|1.3433
sudden||JJ|0.0|-0.863|3.3193|3.3193|0.9288|2.0487|16.3789|16.3789|6.172|-0.3111
it||PRP|0.0|-3.5085|3.9208|7.0353|1.1501|1.7141|19.9214|22.343|5.7928|-0.8074
just||RB|0.0|-3.8756|3.3026|4.3019|1.0731|-2.8505|21.1509|21.2188|6.6859|-0.7756
hit||VB|0.0|-6.1135|4.6431|7.1159|1.4321|-0.0604|19.6124|21.2875|6.295|-0.5769
me||PRP|0.0|-9.8176|4.0538|7.1808|0.9821|2.9814|6.418|19.6124|1.7058|-1.0547
there|.|EX|0.0|-1.5755|2.3817|10.9329|0.7845|1.8073|11.6054|11.6054|4.0279|-0.5269
was||VBD|0.0|-2.2905|3.2249|3.5888|1.2635|1.513|12.5356|13.6653|4.5129|0.1144
no||DT|0.0|0.1525|4.0746|5.5943|1.1886|6.1037|11.1284|15.1777|2.9034|-0.1025
motorcade||NN|0.0|-6.4638|10.0627|11.0861|2.6466|0.5623|22.6904|23.3291|6.8435|-0.3231
back||RB|0.0|-8.314|5.4939|11.2821|1.9783|-4.5045|20.5667|24.104|7.7124|-0.7756
there||RB|0.0|-4.8691|1.597|6.8822|0.4417|0.0199|15.5221|20.5667|3.7899|-0.7756
you've|.|RB|2.9|12.8977|2.9614|19.5889|0.9951|5.1167|7.79|19.5068|2.7781|0.5752
heard||NN|0.0|14.7001|6.2997|6.2997|1.6415|6.6572|12.1719|12.1719|3.572|-0.1025
of||IN|0.0|9.4438|7.6494|10.3851|2.6089|-0.6839|18.2725|18.526|6.7383|0.246
phantom||NN|0.0|1.3225|9.077|16.9954|2.2153|3.2134|22.0483|22.0483|7.5369|-0.5524
limb||NN|0.0|-0.1493|5.9674|9.2034|2.075|6.9852|5.2542|22.0483|1.4383|-0.7415
pain||NN|0.0|2.1471|3.7377|6.787|1.2907|3.278|18.8512|20.7196|4.8559|-1.1408
this|?|DT|7.4|0.8278|2.467|4.0025|0.7163|0.6253|9.1951|19.3341|3.3891|0.5752
was||VBD|0.0|1.2282|6.5815|6.5815|2.3911|4.6238|11.8926|11.8926|4.3564|-0.1929
a||DT|0.0|0.9473|5.0922|6.5815|1.2776|8.3644|7.2871|11.8926|1.8712|0.5752
rented||JJ|0.0|0.7458|10.0299|10.0299|2.6868|2.7972|19.5976|19.5976|6.6929|-0.6856
ford||NN|0.0|-10.1468|10.0634|20.3888|2.7985|0.7934|19.5183|20.2316|7.0032|-1.0014
taurus||NN|0.0|-13.569|3.6134|10.0634|0.9499|0.2828|23.2443|24.0591|6.7095|-0.8371
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
