word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
but|.|CC|0.0|0.8033|5.1488|17.6299|1.7179|-0.5939|28.159|28.8354|9.0005|0.0043
there||EX|0.0|2.3806|4.66|5.4757|1.5181|6.462|17.9387|30.8151|6.4333|0.1452
are||VBP|0.0|2.3714|2.1687|4.66|0.7149|7.6787|4.0652|17.9387|1.3767|2.1169
new||JJ|0.0|4.242|6.2081|6.2672|2.1026|9.8043|10.687|10.687|2.456|-0.6386
technologies||NNS|0.0|1.5028|9.8464|10.9457|3.0327|2.1983|21.8447|23.6509|5.9292|-0.1487
and||CC|0.0|-1.9072|1.1934|9.8464|0.361|4.6223|5.9623|21.8447|1.9334|0.9646
new||JJ|0.0|1.1216|6.2928|6.5091|2.1631|8.2406|14.9489|14.9489|4.0888|-0.3292
products||NNS|0.0|1.1441|6.6024|7.0776|2.0015|-1.9858|21.2724|21.2724|6.2691|-0.6699
that||IN|0.0|-1.4785|6.6863|7.6449|2.2786|-4.564|15.5658|24.4144|5.1365|0.3062
they||PRP|0.0|-1.1843|2.7565|6.6863|0.7788|2.6125|22.2829|22.2829|7.4396|0.3062
can||MD|0.0|-0.2598|3.0306|4.3278|0.9712|0.1264|17.3909|22.2829|6.4018|0.0043
make||VB|0.0|-3.1864|4.7028|6.2195|1.5541|-3.1704|26.7146|26.7146|9.7348|-1.5152
on||IN|0.0|-2.4001|3.4015|4.7028|1.1846|-1.0079|32.0557|32.0557|10.7754|-0.5718
a||DT|0.0|-2.7106|1.3254|3.4015|0.4925|-1.604|9.3676|32.0557|3.3087|2.7205
small||JJ|0.0|-2.5001|2.9586|2.9586|0.7732|0.832|24.5764|24.5764|7.695|-1.2415
scale||NN|0.0|-3.4388|5.9114|6.0849|1.6596|-2.2661|25.1392|28.1096|8.5671|-0.4594
the|.|DT|0.92|-2.8443|3.5337|5.9913|0.9722|3.5566|4.5045|25.1392|1.572|0.9646
next||JJ|0.0|4.2306|8.9411|12.4405|2.4752|0.1408|25.2989|25.2989|8.1584|-1.0519
thing||NN|0.0|0.3375|4.2299|9.3114|1.2911|3.4794|26.5274|27.0414|7.9921|-0.5718
i||NN|0.0|-1.0408|0.4607|4.2965|0.1278|8.7711|7.5122|27.0192|2.6455|2.7205
believe||VBP|0.0|-0.8148|3.9431|3.9431|1.0763|2.887|17.1711|19.6274|4.5791|-0.4594
is||VBZ|0.0|-0.4742|3.3071|3.98|1.0703|-0.384|18.5915|20.2241|6.3026|0.1452
that||IN|0.0|-1.4879|2.9473|3.5112|0.6852|-1.4716|24.4394|24.4394|7.6565|-1.1425
we||PRP|0.4|3.2171|4.5559|6.7816|1.4158|9.9885|11.5864|24.4507|3.3786|1.6474
need||VBP|0.0|4.2578|2.6642|5.7911|0.8745|5.5133|23.1452|23.3749|6.9972|-0.6998
to||TO|0.0|5.3956|1.9174|3.1842|0.6213|0.7599|18.0335|23.1452|6.3742|1.2719
create||VB|0.0|3.3294|3.0825|4.2334|0.8454|0.8075|21.0956|21.0956|7.4258|-1.3734
technologies||NNS|0.0|-1.4918|8.1419|11.2919|2.7247|0.3446|29.0783|29.0783|7.8654|-0.7562
for||IN|0.0|0.0|0.0|8.1419|0.0|0.0|0.0|29.0783|0.0|0.0
poor||JJ|0.0|-10.2292|6.6919|13.7668|1.5283|1.743|25.6822|25.6822|8.1049|0.0
farmers||NNS|0.0|-11.4068|5.243|7.5209|1.4083|1.731|24.0622|25.6822|7.0857|-0.9624
to||TO|0.33|-0.5057|3.8851|16.7069|1.2819|4.1134|18.1358|24.0622|5.3089|-0.6386
add||VB|0.0|0.6584|3.4807|3.8851|1.0087|6.0281|19.4717|20.9948|6.088|-0.9427
value||NN|0.0|-0.4664|5.2545|5.6892|1.3516|4.8117|20.7357|21.1463|5.3684|-1.3034
to||TO|0.0|-2.5919|5.1347|6.3702|1.6206|-0.8558|14.5633|20.7357|4.8899|0.3062
their||PRP$|0.0|-2.7946|3.0358|5.1347|0.9849|5.6093|11.5991|17.7714|3.435|-0.3292
own||JJ|0.0|-3.1133|1.7133|3.086|0.4757|4.7202|6.4324|11.5991|1.8259|-0.4986
crops||NNS|0.0|-3.2921|4.9702|4.9702|1.4802|-1.7063|25.6335|25.6335|8.2373|-1.4322
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
