word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
and|.|CC|0.0|-3.1776|3.7078|5.824|1.131|5.1075|6.0308|14.1845|2.3723|0.4919
you||PRP|0.0|-0.2654|2.3104|5.2067|0.6709|5.8651|10.1365|10.1365|2.944|0.9646
can||MD|0.0|0.0791|4.2072|4.2072|1.1463|0.4938|23.6841|23.6841|7.5961|-0.3292
see||VB|0.0|3.1914|6.8593|7.5365|2.4269|0.6506|21.2772|23.6841|8.1457|-0.9011
that||DT|0.0|0.001|5.1525|7.681|1.4251|4.7254|19.396|24.6839|5.5343|-0.5718
it's||VB|0.33|1.5663|4.8061|7.2736|1.5023|-4.3363|23.9085|27.2726|8.1315|0.1452
a||DT|0.0|4.266|3.6376|5.931|1.3136|8.0177|12.9387|25.7026|3.7016|2.1169
lot||NN|0.0|2.2395|1.6224|4.5312|0.3585|3.2853|22.6429|22.6429|7.841|-1.0179
cleaner||JJR|0.0|2.6031|4.8972|4.8972|0.9429|2.506|20.6408|23.8401|7.1183|-0.4182
burning||NN|0.0|-0.8091|3.1083|6.9235|0.859|4.7742|14.415|20.7204|3.4154|-0.4986
of||IN|0.0|-3.2007|1.6466|3.5238|0.3532|0.5478|20.2297|20.5559|7.8034|0.1452
a||DT|0.0|-3.057|0.8447|1.6602|0.2197|1.7026|14.3597|20.2297|5.1815|2.7205
cooking||NN|0.0|-1.4409|4.8376|4.8376|1.3586|-2.0858|24.2848|24.2848|7.0802|-0.4986
fuel||NN|0.0|-5.5924|9.849|12.2555|2.7086|-1.9269|21.9826|24.2848|6.9467|-1.1947
and|.|CC|0.0|4.8617|5.2011|18.3277|1.3889|7.0939|6.3396|24.0281|2.1896|0.0043
in||IN|0.0|5.1184|4.2847|5.2011|1.3064|5.5052|15.18|16.635|3.7129|0.7085
fact||NN|0.0|-0.5376|6.2342|9.2343|2.238|-0.168|22.6226|22.6226|8.0298|-0.9427
it|,|PRP|0.0|-1.4519|2.7625|6.2342|0.8826|0.1479|17.7161|22.6226|7.1748|1.2719
heats||VBZ|0.0|0.3918|4.7162|4.7162|1.6121|-3.3521|24.1711|24.1711|6.8547|-1.0179
the||DT|0.0|1.3494|1.6807|4.8567|0.4375|-2.6796|24.8066|27.8225|10.3933|0.9646
water||NN|0.0|-1.1659|1.68|3.7226|0.3003|5.1597|17.2379|30.6771|4.9458|0.1452
a||DT|0.0|-2.6191|1.1032|2.9561|0.3239|9.0191|8.7264|17.2379|2.769|3.5253
lot||NN|0.0|-4.3411|3.1387|3.8689|0.8731|2.39|18.9717|19.5064|6.1595|-0.6386
more||RBR|0.0|-3.0996|1.8058|3.619|0.542|3.6977|16.7544|18.9717|4.8377|-0.4986
quickly||RB|0.0|-3.4823|6.688|6.688|2.1381|-5.956|23.0113|24.6183|6.4712|-0.4182
and|.|CC|0.33|3.9258|2.2462|12.3646|0.6542|5.7747|16.501|27.7775|5.5684|0.3062
so||RB|0.0|6.8873|3.4837|5.7257|0.99|1.9997|19.0386|20.696|6.8088|0.1452
we||PRP|0.0|7.9555|4.1537|4.5166|1.3965|6.4435|10.4494|19.0386|2.8021|-0.2304
were||VBD|0.0|7.1952|2.932|4.1537|1.0394|5.8352|7.9674|10.4494|2.5628|2.7205
very||RB|0.0|6.2771|2.7158|3.8342|0.8636|5.343|17.3119|17.3119|5.6146|0.831
happy||JJ|0.0|2.5992|4.3958|7.0835|0.9|4.2137|19.4075|19.4075|5.2184|-0.6386
thus|,|RB|0.56|1.8368|10.2062|10.2062|3.0364|2.2889|17.9947|19.954|6.591|-0.7562
far||RB|0.0|-0.855|5.9094|10.2062|1.9434|4.8956|22.7789|23.1994|8.4826|-0.6386
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
