word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
we|.|PRP|1.55|3.3217|3.9884|11.9075|1.507|11.1776|2.1494|31.4878|0.7687|0.9646
need||VBP|0.0|6.4763|5.1189|7.9199|1.6751|4.4021|19.6963|22.392|6.7788|-0.8082
to||TO|0.0|4.0152|5.5164|8.1377|1.5705|3.5245|13.5214|19.6963|4.7361|0.4919
work||VB|0.0|4.6025|9.902|9.902|3.1671|0.9024|22.8078|22.8078|7.4717|-0.8563
with||IN|0.0|4.1903|1.4308|9.902|0.3418|-2.7834|18.8568|22.8078|7.5145|0.0043
the||DT|0.0|0.9519|7.2324|7.9598|1.9776|-1.3459|17.6251|19.1851|6.1236|1.6474
people||NNS|0.0|3.0096|5.0308|7.4667|1.2243|-0.5645|24.7635|24.7635|8.1764|-0.1767
in||IN|0.0|2.8554|1.1389|5.0308|0.307|8.8064|2.7079|25.3022|0.9135|0.4919
these||DT|0.0|1.227|2.1177|3.5223|0.5717|2.2608|20.1711|20.7428|6.9161|-0.3292
communities||NNS|0.0|0.2626|8.0307|8.0307|2.5938|4.6285|23.1961|23.1961|5.7404|0.0043
and|,|CC|0.0|0.0|0.0|8.0307|0.0|0.0|0.0|23.1961|0.0|0.0
give||VB|0.0|4.1669|5.3849|6.0911|1.5516|5.37|18.3064|18.3064|6.2313|0.0
them||PRP|0.0|6.4449|3.3469|6.7879|0.9358|5.3929|9.9864|18.3064|3.0639|-0.2304
the||DT|0.0|2.5758|3.2712|7.1295|0.9838|6.6178|5.4222|11.104|1.6042|0.7085
resources||NNS|0.0|5.1443|8.4606|8.4606|2.1088|3.0934|17.952|17.952|4.9952|-1.0
and||CC|0.0|1.4241|1.141|8.4606|0.3899|4.5291|17.5544|19.4633|5.8|-0.1199
the||DT|0.0|1.0309|0.3246|1.141|0.1014|6.4561|1.7499|17.5544|0.6094|1.2719
tools||NNS|0.0|3.9135|8.0122|8.0122|2.4515|0.4084|17.0673|17.0673|5.9134|-1.3034
that||IN|0.0|-0.1074|8.7724|12.1676|3.0748|0.2524|13.8537|17.0673|5.046|0.4919
they||PRP|0.0|-8.4689|3.9591|13.2299|0.9377|4.9395|25.4706|25.4706|8.5939|-0.4986
need||VBP|0.0|-9.8219|5.2737|7.2606|1.5705|8.1578|7.0208|25.9109|1.7334|-1.1425
to||TO|0.33|6.0002|1.3477|19.681|0.4944|3.6255|11.6972|14.4867|4.0413|1.6474
solve||VB|0.0|4.5679|3.3054|3.6375|1.2075|2.7968|23.1015|23.1015|8.6341|-0.8082
their||PRP$|0.0|2.0786|3.5784|6.0185|1.2619|6.6166|16.4774|23.1015|5.403|-0.1199
own||JJ|0.0|0.6709|0.8422|3.5845|0.2971|9.0332|4.2181|16.4774|1.0693|0.1452
problems||NNS|0.0|-3.7785|7.376|7.5683|2.3428|-1.6322|24.7707|24.7707|6.2862|-0.6699
that's|.|VB|0.0|0.0|0.0|7.376|0.0|0.0|0.0|24.7707|0.0|0.0
the||DT|0.0|1.3513|6.4663|6.4663|1.8521|-1.1263|19.6569|19.6569|7.4794|0.0
best||JJS|0.0|-10.1112|7.9389|15.061|2.2667|1.5205|21.2945|23.5659|6.9137|-0.9427
way||NN|0.0|-11.5779|2.5596|8.9534|0.795|5.4241|20.537|21.7618|5.8782|0.7085
to||TO|0.0|-13.2873|2.3978|4.3345|0.7465|3.2812|8.4992|20.537|3.2398|0.9646
do||VB|0.0|0.0|0.0|14.6862|0.0|3.4747|17.6716|17.6716|5.8588|0.1452
it||PRP|0.0|0.0|0.0|0.0|0.0|6.4691|9.2625|18.3819|2.6855|0.4919
we|.|PRP|0.0|0.0293|2.9969|2.9969|1.1757|5.7368|13.4546|14.5191|3.9304|0.3062
shouldn't||VBP|0.0|0.3075|6.4316|6.4316|1.5518|2.1417|18.5837|18.5837|4.814|-0.1199
be||VB|0.0|-1.619|1.8323|6.4316|0.4109|1.3978|15.5125|19.3559|5.5031|0.9646
doing||VBG|0.0|-2.4429|4.5613|4.7258|1.4094|1.8241|15.5206|16.55|4.5466|-0.9815
it||PRP|0.0|-4.2232|1.6619|4.5613|0.423|-2.6064|19.0932|20.5326|7.135|0.0043
from||IN|0.0|-2.8538|4.1526|4.243|1.1926|-2.2411|22.1855|22.1855|8.2298|-0.3292
outside||IN|0.0|-4.6949|5.1348|6.0061|1.0877|-0.7033|24.9675|24.9675|8.8963|-1.0352
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
