word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
but|.|CC|0.42|-0.8421|6.6208|20.492|2.0444|7.9756|9.5496|20.4064|3.0994|0.1052
the||DT|0.0|1.1013|5.8499|8.4719|2.3004|9.8047|7.3732|9.89|2.6474|1.0532
majority||NN|0.0|4.7617|10.1697|10.7401|2.7113|9.312|17.9598|17.9598|5.3239|0.3159
of||IN|0.0|3.8877|6.3157|10.1697|2.2314|11.8731|3.4666|17.9598|1.2651|1.0532
the||DT|0.0|0.4871|4.3813|9.0913|1.2779|10.8173|5.829|5.829|2.1568|1.3693
world||NN|0.0|-7.2895|6.2553|11.2424|1.8835|2.0893|26.5334|28.0457|7.9255|-1.0972
neither||CC|1.23|2.328|10.6231|16.1072|2.8684|12.0152|6.7928|28.0857|2.1462|-0.6058
benefits||NNS|0.0|2.2254|3.4002|10.6231|0.8503|6.43|22.0315|22.2284|6.8462|0.064
from||IN|0.0|1.0038|4.6877|5.9161|1.4747|7.3372|20.0849|22.2521|7.7871|0.1052
capitalism||NN|0.0|0.9868|7.1522|7.4622|1.8299|2.1955|23.9431|23.9593|8.9239|-0.1886
nor||CC|0.44|1.3056|4.5331|7.1522|1.1133|7.497|17.9651|23.9431|5.8538|-1.1589
from||IN|0.94|0.352|5.1708|7.1471|1.5428|7.9053|22.1343|22.8557|7.4937|-0.0133
democratic||JJ|0.0|-5.3557|10.106|13.5857|3.3372|4.9371|21.5594|22.1343|6.956|0.5792
systems||NNS|0.0|0.0|0.0|11.8904|0.0|-9.6372|32.6|38.1101|7.6171|-0.8268
most|.|JJS|3.48|4.1332|10.8491|10.8491|2.9365|5.1308|19.4179|39.0536|6.3224|-1.1858
of||IN|0.0|1.457|5.4649|10.8491|1.7939|8.3875|11.1655|19.4179|3.5835|-0.0133
the||DT|0.0|1.1707|6.4248|7.506|1.9434|7.5534|8.7053|11.1655|3.3954|1.3693
globe||NN|0.0|-8.6977|8.581|15.4997|2.6554|2.1476|29.918|29.918|9.0492|-1.2738
experiences||VBZ|0.41|0.877|6.0713|15.3398|1.8127|3.2341|31.9845|31.9845|9.3178|-1.049
the||DT|0.0|-3.3193|2.6399|8.3071|0.8798|2.8631|27.4441|31.9845|9.4641|0.3969
state||NN|0.0|-0.6227|5.2596|5.9365|1.4271|-5.1981|37.6996|37.6996|9.9625|-1.283
as||RB|0.41|0.5172|2.578|6.1182|0.8523|-2.0647|34.473|37.6996|7.6822|-0.4981
repressive||JJ|0.0|-0.4635|4.6342|4.8491|1.2164|-3.9718|37.2358|37.2358|11.0045|-0.5361
as|,|IN|0.0|0.0|0.0|4.6342|0.0|0.0|0.0|37.2358|0.0|0.0
an||DT|0.0|-1.2682|1.8012|2.0482|0.474|1.4446|42.1542|42.1542|17.0461|0.0
organization||NN|0.0|-0.0865|11.651|11.651|2.9393|10.076|13.177|42.1886|3.7734|-0.2108
that||WDT|0.0|0.8292|4.7952|11.651|1.5364|7.3673|19.6355|19.6355|7.2933|-0.4366
is||VBZ|0.0|-2.0713|5.166|7.5655|1.4347|1.3176|22.7758|23.8991|8.3801|0.1052
concerned||VBN|0.0|-1.0825|7.7537|7.7537|1.322|5.7004|27.7625|27.7625|7.9827|-0.9291
about||IN|0.0|-4.7553|7.0253|8.9564|1.7494|5.749|20.0467|27.7625|6.1606|-0.3688
denial||NN|0.0|-1.4367|12.6371|12.6371|4.509|11.3065|13.1985|20.2401|3.1734|-0.7375
of||IN|0.0|3.0171|3.9732|12.6371|1.0697|2.7623|20.036|20.6477|7.9355|-0.3688
rights||NNS|0.0|3.2831|1.7801|3.9732|0.4422|3.5444|26.759|26.8533|9.1577|-1.1589
about|,|IN|0.51|-2.2881|5.6218|9.9744|1.7228|7.2|13.8074|27.4946|4.9601|-0.2535
denial||NN|0.0|0.5803|11.8475|11.8475|3.4064|11.5256|13.6014|13.8519|3.3748|-0.6756
of||IN|0.0|-9.0418|2.5297|14.7175|0.8767|5.6065|14.2023|14.9174|5.0899|1.0532
justice||NN|0.0|-9.3891|0.6139|2.5297|0.1977|-7.8558|36.3311|38.4568|9.157|-1.0222
rather|,|RB|1.18|1.8658|6.2279|13.1379|1.0977|10.8725|11.0861|39.0915|2.9924|-0.5543
than||IN|0.0|-0.7431|3.8751|6.2762|1.3125|10.1715|10.7173|11.1735|3.8866|-0.1179
provision||NN|0.0|-6.4012|8.7517|11.3118|2.9957|6.3481|16.5574|18.9807|3.709|0.064
of||IN|0.0|-8.9832|0.0|8.7517|0.0|-7.4779|25.8593|30.048|8.2564|-0.4981
it||PRP|0.0|0.0|0.0|8.9832|0.0|0.0|0.0|25.8593|0.0|0.0
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
