word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
and|?|CC|1.14|2.7079|2.2369|11.6996|0.8302|10.1377|2.846|19.0134|0.8005|0.9646
at||IN|0.0|3.5442|2.9703|3.2989|0.9024|2.1067|18.5633|18.5633|6.508|0.9646
the||DT|0.0|4.4503|1.162|3.3714|0.4381|0.4113|16.1441|21.2332|5.8973|0.9646
same||JJ|0.0|4.9618|1.6508|1.68|0.3001|3.9775|19.6093|19.6414|6.6895|-0.6998
time||NN|0.0|4.666|3.3173|3.3173|0.9591|7.2802|16.2307|21.162|4.8751|-0.3292
that||IN|0.0|1.7253|3.2057|6.1883|1.1155|6.4068|11.244|16.2307|3.9871|0.7085
we||PRP|0.0|2.719|3.3679|4.1111|1.1861|6.474|9.7622|11.244|2.8927|0.9646
had||VBD|0.0|2.8596|1.1316|3.3679|0.3289|4.5524|18.0818|18.0818|5.7057|-0.1199
students||NNS|0.0|2.5422|2.8665|2.9604|0.6479|1.2018|21.7604|24.3262|7.456|-0.1767
in||IN|0.0|1.3442|1.2863|2.8665|0.5202|6.6905|9.7321|21.7604|2.696|1.2719
the||DT|0.0|-0.0472|1.2225|2.5823|0.3681|8.3962|5.7683|11.8164|1.875|1.2719
lab||NN|0.0|-0.219|3.0357|3.0357|0.9759|6.403|14.7689|14.7689|5.6392|-0.9815
looking||VBG|0.0|0.5355|4.2059|4.5209|1.2148|1.8039|16.2162|20.6366|4.7061|0.4919
at||IN|0.0|-2.9739|4.0219|7.3502|1.3883|1.6071|12.453|16.2162|5.1938|0.3062
this||DT|0.0|-0.3826|4.6863|6.4113|0.9513|-0.0453|23.0988|23.0988|8.027|-1.2632
we|,|PRP|0.49|2.5599|4.2829|6.8745|1.248|9.3763|5.6112|23.0988|1.7614|0.9646
also||RB|0.0|3.1326|2.6394|5.32|0.8425|4.3338|19.3592|19.3592|6.8337|0.2229
had||VBD|0.0|1.1682|4.2172|6.1626|1.2091|4.5477|17.363|19.3592|4.5404|-0.3292
community||NN|0.0|1.2509|3.8529|4.2172|0.9262|6.1464|20.6062|21.0841|5.177|0.3956
partners||NNS|0.0|-0.133|6.1092|6.2084|1.1448|1.0711|23.9416|24.3785|6.6055|-0.7562
in||IN|0.0|-1.1958|0.973|6.1092|0.2781|3.9133|8.7669|23.9416|1.948|0.1452
haiti||NN|0.0|-1.0757|8.0885|8.0885|2.8042|3.6457|11.557|11.557|3.2758|-0.5361
working||VBG|0.73|0.7834|6.6195|8.4262|1.5988|4.7969|20.3151|20.3151|6.195|-0.4594
to||TO|0.0|-0.3508|5.5031|7.5768|1.2871|1.1957|12.7779|20.3151|4.7135|-0.1199
develop||VB|0.0|-2.2171|7.5639|7.5639|0.9792|-0.9509|34.6125|34.6125|10.879|-1.2702
the||DT|1.25|-0.6092|0.8126|7.5639|0.2337|-0.7002|18.1711|34.6125|6.019|1.2719
process||NN|0.0|-1.5772|3.1527|3.1527|1.1777|2.2353|23.941|23.941|8.6956|-1.2632
to|,|TO|0.0|0.3591|1.8733|4.7003|0.5571|-3.8205|33.6242|36.9645|12.3787|-0.6386
improve||VB|0.0|0.797|7.3545|7.3545|2.0897|4.7595|17.0619|35.4407|5.2841|-0.3292
it||PRP|0.0|0.4426|3.9903|7.3545|1.2069|4.4204|13.9772|17.2216|5.0828|0.3062
and||CC|0.0|-0.7529|2.1524|3.9903|0.6817|6.9135|15.5733|15.5733|3.4844|0.3062
to||TO|0.0|-0.5559|2.4494|2.8312|0.6964|0.5887|11.6465|15.6991|4.1229|1.2719
make||VB|0.0|-1.1219|2.1959|2.4494|0.5303|3.123|19.9276|19.9276|6.6784|-0.6386
it||PRP|0.0|1.2513|5.9327|6.5848|1.7898|-3.354|21.2334|22.7296|7.644|-0.6386
more||RBR|0.0|8.3973|6.3214|12.1765|1.5414|4.968|25.8855|25.8855|7.6511|-1.7197
accessible||JJ|0.72|0.1336|8.4842|15.8223|2.1618|0.8393|20.7199|25.8855|5.8929|0.6511
to||TO|0.0|-1.2722|2.2051|8.4842|0.6549|-6.8231|19.2318|26.961|6.7889|0.9646
people||NNS|0.0|-2.6456|3.8079|4.4306|1.4484|-4.872|23.203|23.203|7.5448|-0.1199
in||IN|0.0|-4.7116|1.3669|4.449|0.4132|2.3139|5.01|23.203|1.8229|0.3062
the||DT|0.0|-5.5118|0.4822|1.7648|0.1384|0.3283|8.0492|8.7034|2.5037|1.6474
villages||NNS|0.0|-6.4743|3.2571|3.2571|0.6298|-5.013|23.7368|23.7368|6.454|-0.7562
there||RB|0.0|-7.0109|2.161|3.2571|0.6902|-2.2482|29.0191|29.0191|9.8419|-0.8082
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
