word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
the|.|DT|0.65|-5.5392|1.1862|13.2297|0.3673|5.3849|5.904|15.4597|1.459|-0.074
governments||NNS|0.0|-0.1354|10.2489|10.2489|2.3382|-0.8375|18.6281|18.6281|6.0334|-0.96
have||VBP|0.0|0.0341|6.1676|10.2489|2.2375|5.2907|9.8507|18.6281|2.5782|-0.2466
been||VBN|0.0|-0.4743|3.1592|6.1676|0.8993|6.7888|6.1885|10.4827|1.8056|-0.1651
doing||VBG|0.0|-1.1019|2.7303|3.7529|0.6042|5.9465|8.2797|9.472|2.0531|-0.8424
this||DT|0.0|-1.2288|2.681|2.7534|0.8213|3.2317|13.0189|15.1626|3.9457|-0.1651
three||CD|0.0|0.0014|2.641|4.1924|0.5769|2.3691|15.4496|15.4496|5.7093|0.0
governments||NNS|0.0|-1.1288|1.9645|3.0961|0.4549|1.767|18.2857|18.2857|5.7515|0.4867
have||VBP|0.0|-0.6589|2.6548|2.8454|1.0257|2.1827|12.8896|18.2857|4.7772|1.0733
been||VBN|0.0|-2.103|1.7248|3.8909|0.4465|5.4038|2.7459|14.0252|0.8666|0.2772
doing||VBG|0.0|-2.1128|2.1805|2.2814|0.5961|5.4635|7.0093|7.0093|1.5491|-0.7523
this||DT|0.0|-2.7554|1.2136|2.1805|0.3522|2.104|11.6773|13.0317|4.7071|-0.074
for||IN|0.0|-4.238|5.9653|5.9653|2.0158|-0.2703|12.6821|13.6066|4.6269|0.4303
forty||JJ|0.0|-10.777|5.775|11.9133|1.3069|1.5231|21.7096|21.7096|8.0259|-0.207
five||CD|0.0|-14.6341|6.9925|9.532|2.0228|1.6099|20.0439|21.7096|6.4673|-0.9391
years||NNS|0.0|-16.7288|2.4099|7.5722|0.4621|4.4334|14.3216|20.0439|3.0908|-0.9391
and|,|CC|0.0|-5.3968|5.9061|16.0285|2.0411|1.7416|6.1655|14.3216|1.6843|0.4303
still||RB|0.0|-1.3517|4.6569|8.506|1.2442|-0.8621|24.874|24.874|7.915|-1.0939
four||CD|0.34|-0.8484|6.7054|6.7054|1.5279|4.1603|14.9429|24.874|4.6787|-0.2466
percent||NN|0.0|-2.107|4.6713|6.7054|1.2228|-0.6503|22.2696|22.3778|7.3731|-0.0244
of||IN|0.0|-3.1215|1.4074|4.6713|0.5144|4.2676|1.2627|22.2696|0.491|2.9309
the||DT|0.0|-4.2358|0.4004|1.7308|0.1666|4.5132|6.8654|6.8654|2.1495|2.2675
people||NNS|0.0|-2.8792|3.0645|3.3661|0.6229|-1.8154|23.4568|23.4568|8.3532|0.0846
that||WDT|0.0|-4.8548|0.9013|4.3682|0.3238|5.2006|3.3978|23.4568|1.0813|0.82
have||VBP|0.0|-6.246|2.9292|3.6398|1.0892|2.4063|5.3556|7.4681|2.2566|1.0733
left||VBN|0.0|-4.1741|2.4201|4.4378|0.5323|-0.4219|19.9025|19.9025|7.9421|-0.5986
the||DT|0.0|-5.1722|2.1729|2.4861|0.5991|3.6377|13.7116|19.9025|3.7058|0.6089
atmosphere||NN|0.0|-4.6989|5.2496|5.2496|1.4041|-0.0404|17.1991|17.1991|5.1|0.0284
have||VBP|0.0|-5.0328|1.3548|5.2496|0.4707|1.4809|2.619|17.1991|0.8323|1.3829
died||VBN|0.0|-4.1828|8.1754|8.1754|2.782|4.9321|10.6645|10.6645|2.789|-0.9799
that's|.|NN|0.0|-5.8472|0.7283|8.1754|0.218|2.4046|4.028|10.6645|1.247|0.1445
you||PRP|0.0|-3.4382|2.5659|3.4716|0.6968|2.9165|12.3607|12.3607|2.9288|-0.4466
don't||VBP|0.0|-0.9285|5.9133|7.5784|1.5352|-7.0101|27.5766|27.5766|8.6117|-1.3604
want||VB|0.0|-3.0823|3.1418|7.5834|0.8508|3.4087|2.0289|27.5766|0.6672|-0.074
to||TO|0.0|-5.9493|0.9993|4.2305|0.3721|3.4668|2.3357|2.3357|1.007|2.9309
run||VB|0.0|-4.4595|1.5801|2.6131|0.4994|4.6181|3.3624|4.0706|1.1274|-0.074
a||DT|0.0|-6.4361|2.3597|3.844|0.8844|3.1768|2.556|4.6915|0.9744|3.8597
business||NN|0.0|-6.1457|4.6399|4.6399|1.089|-0.1203|17.0833|17.0833|4.7686|-0.0413
with||IN|0.0|-6.6698|2.5805|4.6399|0.9223|-4.1427|22.2513|24.0295|8.3691|-0.2466
that||DT|0.34|-5.2806|1.767|3.8937|0.4538|-5.7488|29.2756|29.2756|9.4462|-0.5521
kind||NN|0.0|-5.6782|3.3437|3.3437|1.1456|-1.5557|18.6534|29.2756|6.4797|-0.3199
of||IN|0.0|-7.9762|0.9843|4.3605|0.2472|-2.1679|15.4356|18.6534|4.0681|-0.1651
a||DT|1.15|-7.8392|0.6425|1.1564|0.3306|2.5119|4.497|17.6889|1.4715|0.4303
safety||NN|0.0|0.0|0.0|8.1153|0.0|0.0|0.0|4.497|0.0|0.0
record||NN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
