word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
so|.|RB|0.5|-7.8477|6.2321|10.0624|1.805|2.5086|20.4018|20.4018|5.9269|-1.3034
you|,|PRP|0.0|0.0347|6.7113|12.3244|2.3562|3.0568|18.997|20.4018|7.0447|0.3062
know||VBP|0.0|-0.5075|1.2526|6.7113|0.4226|10.1362|3.4423|20.6379|1.0509|0.7085
i|,|RB|0.0|-0.2697|1.5257|1.5471|0.4805|9.3921|5.4773|5.4773|2.0306|1.6474
do||VBP|0.0|1.0535|5.4338|5.4338|1.9926|5.5755|14.4873|15.8712|5.0193|0.0043
what||WP|0.0|2.6982|2.2968|5.5395|0.6898|6.4634|14.7492|15.6164|4.1999|-0.1199
i||VB|0.0|1.717|1.0788|2.5589|0.4534|5.6072|5.6748|14.7492|1.8603|2.7205
can||MD|0.0|1.6144|1.6045|1.6045|0.3419|2.9528|15.8206|15.8206|5.7206|-0.6386
with||IN|0.0|0.309|2.3562|3.5037|0.8611|3.0416|11.4012|15.8206|4.2505|0.3062
the||DT|0.0|-0.5279|1.3612|2.3562|0.4395|0.9118|9.4475|12.605|3.378|2.1169
students||NNS|0.0|-0.153|1.776|1.8859|0.5318|-1.2727|23.7183|23.7183|8.797|-0.2304
we|.|PRP|0.0|-2.2946|3.7964|5.681|1.2128|0.7306|18.6338|23.7183|4.9602|0.7085
have||VBP|0.0|-3.4204|2.4883|3.9043|0.3547|-1.9796|23.4402|23.4402|7.0245|-1.4455
thirty||JJ|0.0|-0.7584|4.9651|6.4389|1.6311|-0.1416|23.3039|25.3696|7.9245|0.831
students||NNS|0.0|-1.0926|1.9332|4.9651|0.5152|-4.0723|23.3795|23.4868|8.1289|-0.2304
a||DT|0.0|-1.4736|3.0383|3.1831|0.8348|1.1882|4.9867|23.3795|1.5645|2.7205
year||NN|0.0|-2.4247|2.9747|3.8198|0.9948|0.9106|9.4658|9.4658|3.1303|-0.2304
go||VBP|0.0|-3.1844|1.2615|2.9747|0.3051|2.2841|13.0706|13.3897|4.5882|0.3062
out||RP|0.0|-3.1865|0.7134|1.2615|0.1682|5.3467|14.6402|15.006|5.0995|-0.4182
into||IN|0.0|-2.739|4.6362|4.6362|0.94|-0.9471|14.2926|20.04|4.9263|0.4919
the||DT|0.0|-4.4173|2.4957|5.0091|0.6685|-2.7522|13.5986|15.5393|4.8519|1.2719
field||NN|0.0|-2.8771|1.9774|3.733|0.5383|-3.2005|21.8063|21.8063|8.0706|-0.9427
and||CC|0.0|-3.6922|0.9333|1.9835|0.2607|1.077|12.8873|21.8063|3.3042|0.7085
try||VB|0.0|-3.5034|2.0379|2.0379|0.6949|-0.3559|16.1568|16.1568|6.4011|0.1452
to||TO|0.0|-5.6732|6.591|8.0305|1.214|1.4647|12.9319|16.7891|3.7293|-1.4184
implement||VB|0.0|-3.8093|8.3005|8.3005|1.3803|-1.049|21.5362|22.4724|6.427|0.3062
this||DT|0.0|-3.6723|1.2255|8.3005|0.391|-3.9664|17.4275|21.5362|7.2831|-0.1199
and||CC|0.0|-3.653|2.3641|2.3641|0.81|0.1111|13.7608|17.4275|4.0828|0.7085
move||VB|0.0|-4.5061|1.4977|3.1071|0.4098|0.562|9.0541|14.4568|2.9907|0.3062
it||PRP|0.0|-4.5217|1.9932|1.9932|0.5708|-3.2154|18.439|18.439|5.9435|0.0043
forward||RB|0.0|-3.7449|2.8161|3.6803|0.7043|1.1733|23.3819|23.3819|7.485|-0.1199
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
