word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
and|.|CC|0.57|2.3036|2.6397|9.9413|0.9772|7.3794|11.7212|24.154|3.6476|0.7085
conveniently||RB|0.0|2.2221|9.3797|9.3797|2.8192|4.1467|22.4272|22.4272|5.9468|-0.4986
one|,|CD|0.34|2.5303|4.0706|9.3797|1.0683|8.3991|9.7788|22.4272|2.6525|0.3062
of||IN|0.0|3.067|1.1775|4.2201|0.3996|9.0475|4.3137|9.7788|1.4819|1.2719
my||PRP$|0.0|1.425|1.7147|2.9415|0.6019|8.5025|5.0432|5.0432|1.5282|-0.1199
students||NNS|0.0|1.8621|3.8118|3.8118|1.1641|0.8457|21.5757|26.1966|6.0186|-0.5718
was||VBD|0.0|-1.5313|2.6934|6.2771|0.8871|0.4042|15.6943|21.5757|5.206|-0.4986
from||IN|0.0|-1.0169|2.5078|3.039|0.8458|1.3763|13.8611|15.6943|4.5764|-0.2304
ghana||NN|0.0|-2.2915|5.7936|6.5024|1.6674|6.3456|21.1783|21.1783|5.7644|-0.6386
and|,|CC|0.44|1.5242|5.2135|9.5846|1.7241|10.8563|5.1105|21.1783|1.7796|1.6474
he||PRP|0.0|3.2229|2.0228|5.9149|0.7309|10.0333|5.0227|5.4436|1.6656|1.2719
remembered||VBD|0.0|2.7389|6.8196|6.8196|1.8245|7.4474|14.8224|14.8224|3.4095|-0.5947
a||DT|0.0|-1.967|1.61|8.5024|0.4808|7.1516|6.1214|14.8224|1.9274|1.6474
dish||JJ|0.0|1.7287|10.1657|10.1657|3.2594|2.6287|16.458|17.2101|4.8562|-0.6998
his||PRP$|0.0|1.9163|4.5271|10.1657|1.7754|1.7526|13.3055|16.458|4.4582|-0.2304
mom||NN|0.0|0.7757|2.3472|4.6643|0.783|9.0193|6.7675|15.6696|1.2637|-0.9427
used||VBN|0.0|0.6098|1.2195|2.3472|0.2776|-0.3555|21.7085|23.1593|7.4127|-0.4986
to||TO|0.0|1.1503|1.2194|1.7271|0.3853|0.5133|14.1057|21.7085|5.3599|3.5253
make||VB|0.0|0.3405|3.4055|3.4055|0.9443|4.7978|19.2588|20.144|6.5437|-0.6998
for||IN|0.0|-0.2469|1.4703|3.6021|0.5306|0.6855|18.5089|20.9577|7.5485|0.1452
him||PRP|0.0|-1.6486|2.4687|2.9601|0.649|5.4465|7.4668|18.5089|2.1748|-0.1199
called||VBD|0.0|-2.6531|3.5986|3.872|1.0005|0.4025|23.0187|23.0187|6.9054|-0.8563
kokonte||NN|0.0|2.7147|11.2895|11.2895|2.9768|1.1492|22.916|23.2958|6.3816|-0.7827
which|,|WDT|0.0|-3.4682|4.0448|11.4534|0.9261|-0.5869|17.8132|22.916|4.9837|0.0043
is||VBZ|0.0|-0.9211|0.8423|4.6106|0.2199|3.0764|3.2295|17.8132|0.9843|1.6474
a||DT|0.0|-0.179|4.3048|4.3048|1.4075|6.0585|4.8737|6.9325|1.8995|1.2719
very||RB|0.0|0.7243|7.8055|7.8055|2.4814|6.077|9.8622|9.8622|2.5851|0.5959
sticky||JJ|0.0|3.1224|5.9689|9.4724|1.2228|-4.8505|27.7212|28.5501|8.5721|-0.6998
porridge||NN|0.0|0.433|6.4557|7.9018|1.7886|1.8876|27.7298|30.8468|7.7158|-0.6386
made||VBD|0.0|-1.7679|2.9576|7.1813|0.6661|4.6922|16.887|27.7298|3.9256|-0.8563
out||IN|0.0|-2.8918|0.8927|2.9576|0.2365|7.5365|11.0764|17.4565|3.6839|0.4919
of||IN|0.0|-2.8854|0.8056|0.9579|0.2115|-2.4311|15.2133|20.1993|4.4819|1.2719
the||DT|0.0|-2.9635|1.5671|1.6748|0.4283|-1.975|16.609|17.4713|5.7795|1.2719
cassava||NN|0.0|-2.5396|4.3614|4.3614|0.8841|-0.6163|27.7061|27.7061|8.8875|-0.2304
root||NN|0.0|-6.3787|4.387|8.6417|0.9188|0.0116|9.3129|27.7061|2.5272|-0.2304
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
