word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
but|.|CC|1.29|-0.224|11.1619|12.4343|2.4391|-0.032|23.1414|23.1414|6.6666|-1.1773
i||JJ|0.0|10.9073|3.4541|15.1312|0.6858|4.8159|15.2804|23.1414|4.5077|-0.3863
think||VBP|0.0|4.1965|12.1074|13.2658|3.457|-1.1927|20.574|20.8524|6.6504|-1.0799
once||IN|0.0|4.1454|10.2303|13.3255|3.6341|2.9614|18.3384|22.3065|6.2118|-0.8688
it||PRP|0.0|3.9685|4.7071|10.2303|1.4667|-0.266|17.2254|19.1153|6.8602|0.0284
does||VBZ|0.0|-3.9629|11.7615|14.0834|2.0692|1.3352|17.5792|18.8666|5.4442|-1.1445
we|,|PRP|0.69|-0.149|5.465|11.7615|1.8795|4.8443|14.5187|17.5792|3.3612|-0.2466
will||MD|0.0|0.1067|1.4075|5.465|0.3893|4.797|17.147|17.147|5.2352|0.1445
find||VB|0.0|3.6108|7.2634|7.3758|2.6234|2.7464|22.9932|22.9932|7.9125|-1.0939
solutions||NNS|0.0|-5.6079|20.8842|25.1542|6.0845|1.0704|15.0803|22.9932|5.1085|-0.3199
and|,|CC|0.0|8.2519|2.4182|27.8828|0.8616|3.5958|5.4684|15.0803|1.7445|1.0733
very||RB|0.0|0.9566|7.6711|10.7618|1.8314|2.0564|18.2483|18.2483|5.8633|0.516
quickly||RB|0.0|1.6393|9.9653|11.4503|2.9514|-1.4819|21.9567|21.9567|7.6736|-0.5274
you'll|,|VB|0.0|-4.4547|1.4168|10.2884|0.4096|4.803|11.3102|21.9567|2.6408|-0.074
see||VBP|0.0|-0.9954|4.5988|5.732|1.3988|-0.0505|18.044|18.044|6.9848|-0.5521
those||DT|0.0|-2.9351|5.4192|7.3097|1.6598|2.6752|9.4077|18.044|3.3502|-0.1651
resort||NN|0.0|-3.7979|5.8312|6.2478|1.4393|3.3619|11.2445|11.2445|3.5007|-0.3199
hotels||NNS|0.0|-3.0221|6.0068|6.6663|1.4023|1.4681|16.262|16.262|5.1513|-0.6204
in||IN|0.0|-4.2681|3.3058|6.0068|1.2515|4.0705|4.6478|16.262|1.3994|1.0733
orbit||NN|0.0|-4.0546|3.5592|3.8633|1.0767|4.3078|7.6644|7.6644|2.3581|-0.2842
and|.|CC|0.52|-3.1245|1.3324|3.7527|0.4068|5.6524|2.2121|7.6644|0.5552|-0.074
that||DT|0.0|-2.1523|1.6527|2.2916|0.435|-7.7887|29.5744|29.5744|10.8889|-1.2156
real||JJ|0.0|-0.8266|4.7146|4.7146|1.7275|4.4352|30.7067|31.0762|8.2091|-0.8424
easy||JJ|0.0|0.1747|4.5712|6.1126|1.5381|5.3278|10.8705|30.7067|3.2648|0.1445
thing||NN|0.0|-2.0666|4.1717|6.1289|1.1595|1.5508|15.0902|17.2113|5.0958|-0.3863
to||TO|0.0|-3.8058|1.1863|4.9842|0.363|5.1642|3.381|15.3831|1.1458|1.3829
do||VB|0.0|-3.4817|3.019|3.019|0.8661|5.0363|9.303|9.303|3.2284|-0.3863
which|,|WDT|0.0|-2.973|1.7352|3.5213|0.3394|0.1444|18.0983|18.8201|6.8419|-0.3863
is||VBZ|0.0|-4.7486|3.1703|3.7217|1.1097|2.579|11.0361|18.0983|3.8287|0.82
a||DT|0.0|-4.768|2.6356|3.2354|0.836|2.331|8.3302|11.0361|2.9238|0.6089
swing||VBG|0.0|-3.4003|2.6569|3.4727|0.6754|2.8023|13.3503|13.3503|4.2838|-0.8936
around||IN|0.0|-2.9189|0.9803|2.6869|0.2965|5.8492|2.6262|13.3503|0.5669|0.0284
the||DT|0.0|-3.4571|1.7356|1.928|0.5423|5.3809|1.8679|2.8118|0.6923|2.2675
moon||NN|0.0|-4.4028|1.2722|2.0051|0.2727|6.4504|1.7498|2.8774|0.4904|-0.9799
so||RB|0.0|8.5445|4.0765|15.3621|1.2959|-0.1907|14.7344|15.0933|6.5429|0.0284
you||PRP|0.0|6.6754|1.4505|4.9911|0.3795|5.0267|3.4673|14.7344|0.9236|0.4303
have||VBP|0.0|6.926|2.3425|2.4456|0.7417|4.0636|5.8681|6.3238|2.1321|0.1445
this||DT|0.0|6.5578|1.6362|2.4104|0.439|-0.1652|14.58|14.58|5.6189|-0.1651
cool||JJ|0.0|8.1379|4.6296|5.5647|1.2558|-0.0028|23.088|23.088|8.0295|-0.8936
view||NN|0.0|6.1425|8.4917|8.4917|1.5912|1.3798|17.2879|23.088|4.9907|-1.2327
and|.|CC|0.0|7.4142|4.2951|8.4917|1.1691|1.9631|16.8148|17.7964|5.6579|-0.8936
that||DT|0.0|6.1919|2.7703|6.2722|0.6746|3.2199|8.3602|16.8148|2.817|-0.2466
will||MD|0.94|-12.3278|4.0975|21.577|1.5426|3.2306|5.6738|8.3602|2.0312|1.3829
be||VB|0.0|-14.3558|1.8666|4.5721|0.6441|5.4508|8.7725|8.7725|2.8967|-0.074
really||RB|0.0|-15.486|4.3315|5.097|1.3529|4.0732|16.2987|17.0677|4.1388|0.3509
cool||JJ|0.0|0.0|0.0|18.2132|0.0|-0.2403|21.5549|21.5549|8.2058|-0.4466
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
