word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
no|?|DT|0.0|0.0|0.0|7.3799|0.0|0.0|0.0|25.2391|0.0|0.0
it's|,|NN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
breathing||VBG|0.0|4.7434|4.6627|6.446|1.1009|1.4798|28.2341|28.2341|5.1613|0.0
the||DT|0.0|1.9702|2.3977|5.5739|0.7626|-0.8664|11.9577|28.2341|2.9263|1.2719
smoke||NN|0.0|0.269|5.4|5.6262|1.8568|-4.9081|23.79|23.79|8.0973|-1.34
from||IN|0.0|-2.0006|2.4589|6.2018|0.9008|-8.6057|14.6031|23.79|5.0471|-0.2304
indoor||JJ|0.0|-1.5192|7.626|7.626|1.7139|-2.4779|29.1353|29.1353|7.5547|-1.4184
cooking||NN|0.0|-4.1476|7.9807|11.8395|1.9059|-6.4681|26.1384|29.1353|6.4173|-0.7827
fires||NNS|0.0|-6.9353|2.3196|7.9807|0.6686|-7.0707|28.6454|29.8665|8.3973|-1.4322
acute||VBP|0.61|3.2636|2.6915|11.8671|0.6368|-2.8866|18.5502|28.8784|6.8428|0.3062
respiratory||JJ|0.0|-0.1402|6.0058|6.536|1.2035|-3.7355|25.5266|25.5266|6.83|0.6177
infections||NNS|0.0|-3.3402|4.8668|9.5156|1.164|-3.0461|23.9039|25.5266|6.1293|-0.5238
caused||VBN|0.0|-4.3465|2.1637|4.8668|0.4256|-6.2949|27.8933|28.8384|8.6848|-1.2415
by||IN|0.0|-5.5972|2.3824|3.7072|0.6944|-3.1098|17.9887|27.8933|6.7528|0.4919
this||DT|0.0|-7.0158|0.9378|3.0163|0.2546|-10.2917|21.2213|21.795|5.8111|-0.8563
can|.|MD|0.0|0.0|0.0|7.455|0.0|0.0|0.0|21.2213|0.0|0.0
you||PRP|0.0|-9.7342|5.9177|11.9968|1.84|3.5188|23.8996|23.8996|6.5902|0.0
believe||VBP|0.0|-11.1616|8.5238|8.5861|2.957|-0.5221|16.063|23.8996|5.3247|0.0725
that||IN|0.0|-11.6977|4.2375|8.5238|1.2528|-0.5707|20.575|20.575|6.4339|-0.5718
i|?|NN|1.14|2.6512|4.3658|18.5934|1.6097|6.6876|6.786|23.1995|1.8947|2.1169
find||VBP|0.0|3.964|6.3156|6.8936|1.7617|2.6084|21.8207|21.8207|7.6214|-0.9011
this||DT|0.0|-1.8235|2.9373|9.6331|0.6612|1.8802|10.2891|21.8207|3.2943|0.3062
shocking||NN|0.0|-2.7167|11.3227|11.3227|2.7114|0.8457|20.2568|20.2568|5.8032|-0.6386
and||CC|0.57|-4.0771|6.946|11.3227|2.3064|-1.9459|25.0646|28.8633|7.9236|-0.7562
somewhat||RB|0.0|-11.3397|5.1913|12.2526|1.3655|1.2168|27.2117|27.4279|9.2902|0.4269
appalling||JJ|0.0|-13.2749|2.2191|6.1305|0.5933|0.3639|21.0459|27.2117|6.6768|-0.0802
can't|.|NN|0.57|2.0673|2.7727|17.5776|0.9184|5.0829|14.8438|21.5512|5.752|-0.5718
we||PRP|0.0|2.1366|4.0224|4.0224|1.3904|5.3679|12.1277|14.8438|3.7096|0.7085
make||VBP|0.0|2.198|1.9733|4.0224|0.5034|1.8526|21.1489|21.1489|7.8946|-1.0179
cleaner||JJR|0.0|2.4417|6.8936|6.8936|1.0449|1.1445|24.2905|24.5135|8.3396|-0.2811
burning||VBG|0.0|-0.1894|5.6563|7.9067|1.5066|3.9393|19.9852|24.2905|5.7741|-0.1767
cooking||NN|0.0|-0.4101|5.742|6.1112|1.1988|-1.9754|24.2321|26.2779|7.4638|-0.4594
fuels||NNS|0.0|0.0|0.0|5.742|0.0|0.0|0.0|24.2321|0.0|0.0
can't|?|NN|0.0|1.2189|3.219|3.219|1.2309|6.2738|14.027|14.027|3.7265|0.0
we||PRP|0.0|1.9825|2.9167|3.5655|1.0009|5.9444|5.3965|14.027|1.8851|1.2719
make||VBP|0.0|1.894|2.0219|3.1404|0.5199|1.4501|20.4575|20.4575|7.2903|-0.9011
better||JJR|0.0|0.0882|3.5018|4.594|1.2222|2.5397|21.2383|21.3071|6.1188|0.3956
stoves||NNS|0.0|5.7246|11.3289|13.983|2.7135|-5.6432|22.1033|24.8591|6.9944|-1.6111
<END>|?|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
