word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
so|.|RB|0.54|0.1372|4.2438|9.7484|0.9466|4.8747|24.61|25.1422|7.1011|-1.4322
our||PRP$|0.0|-0.885|2.0797|4.2966|0.5201|5.1456|23.6626|24.61|8.1034|-0.7562
engineering||NN|0.0|2.2162|8.044|8.9876|2.6857|6.7294|12.0585|23.6626|2.6562|0.3956
students||NNS|0.0|-0.6169|7.0662|11.0074|1.9878|-0.8812|20.9182|25.0925|5.8151|-0.6998
went||VBD|0.0|-0.527|1.783|7.0662|0.3544|2.1803|19.6932|23.6957|6.2059|-0.4986
to||TO|0.0|-0.0741|2.3054|2.367|0.5969|0.8667|15.4626|19.6932|4.9438|0.9646
work||VB|0.0|-2.83|2.0747|4.59|0.353|2.182|21.0329|21.0329|6.5074|-0.6998
on||IN|0.0|-6.1559|3.3388|5.5598|0.8671|5.687|12.2904|21.0329|4.1887|-0.1199
it||PRP|0.0|-5.4988|2.6976|3.3388|0.9816|5.2493|3.7645|12.2904|1.1064|2.1169
and|,|CC|0.56|-0.0357|2.136|7.2573|0.5668|8.1227|4.6956|8.3107|1.2786|0.3062
with||IN|0.0|2.6583|5.078|6.5178|1.4972|5.1241|14.6426|16.8847|5.5594|0.3062
some||DT|0.0|3.1726|5.9278|5.9278|1.469|4.8424|17.573|17.573|7.0921|-0.4986
very||RB|0.0|2.1155|8.5186|8.5186|2.7348|6.813|13.4677|17.573|4.2727|0.0725
simple||JJ|0.0|2.6577|4.7611|8.5186|1.1829|0.4781|19.2659|19.3988|6.5407|-0.3748
changes||NNS|0.0|-0.8746|8.565|10.7528|2.7474|1.9036|21.4236|21.455|6.0822|-1.5717
they|,|PRP|0.33|2.8095|0.3684|9.0277|0.1335|9.9717|2.6318|22.5354|1.1629|3.5253
were||VBD|0.0|1.3984|2.2142|2.4001|0.6378|7.6126|9.3486|9.3486|3.2612|0.3062
able||JJ|0.0|0.8565|2.9641|3.6168|0.9042|3.7154|12.9821|14.1868|3.4254|0.2229
to||TO|0.0|-0.6071|2.9823|4.392|1.0809|2.8052|10.5269|13.2582|3.7459|0.7085
triple||VB|0.0|3.8701|10.0951|10.0951|2.7913|0.1445|21.5002|21.5002|5.8983|-0.6386
the||DT|0.0|2.5342|2.9355|10.0951|0.8043|1.6441|14.7731|21.5002|4.4155|0.3062
throughput||NN|0.0|-0.0289|13.9983|13.9983|4.136|-0.5293|21.33|21.33|7.395|-0.7286
of||IN|0.0|-4.4278|1.039|13.9983|0.3406|0.0211|13.9829|21.33|4.7621|0.9646
this||DT|0.0|-4.5477|1.8273|1.8273|0.4979|-4.4673|14.2372|16.6375|4.66|-0.3292
device||NN|0.0|-2.2448|4.0883|5.557|1.265|-2.6357|29.8715|29.8715|8.4291|-0.7827
so|.|IN|0.54|2.5327|1.2314|7.1814|0.4313|1.4702|19.6586|29.8715|8.3248|0.1452
you||PRP|0.0|2.9834|2.6689|2.6689|1.0836|8.7165|11.0354|20.5335|3.2632|1.2719
could||MD|0.0|2.5114|4.5961|4.5961|1.2806|1.5209|13.1781|16.4776|4.8933|2.7205
imagine||VB|0.0|2.573|4.6949|5.5288|0.9966|7.9202|15.7958|17.4451|4.0122|0.4269
they||PRP|0.0|-0.5978|3.7215|8.0903|1.095|7.016|4.7504|15.7958|1.5672|1.6474
were||VBD|0.0|-2.3039|1.6857|4.3061|0.4069|6.0514|8.3337|9.1697|2.4536|0.7085
very||RB|0.0|-2.691|0.9492|2.052|0.2833|5.2131|17.8899|17.8899|5.3472|0.4919
excited||JJ|0.0|-1.313|4.4755|4.4755|1.1489|0.0468|23.4476|23.4476|7.2202|0.0493
about||IN|0.0|-5.6053|4.6936|8.0135|1.4644|2.7368|19.5727|23.4476|6.1289|0.2229
it||PRP|0.0|0.0|0.0|6.9602|0.0|4.3112|0.5047|19.5727|0.1978|3.5253
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
