word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
a|.|DT|0.0|0.0|0.0|8.6886|0.0|0.0|0.0|6.1146|0.0|0.0
couple||NN|0.0|3.9433|1.7135|4.6174|0.3594|-5.0818|11.1536|11.1536|3.2786|0.0
of||IN|0.0|2.3116|2.4481|3.4862|0.6177|-6.79|4.3902|11.1536|1.4566|0.9646
other||JJ|0.0|1.2809|2.6112|4.1224|0.5419|-6.0283|14.8685|14.8685|4.1995|0.9646
things||NNS|0.0|0.2883|3.1422|3.342|1.0074|-9.6944|21.3751|21.3751|7.0732|-0.5718
that||WDT|0.0|-0.0493|4.5132|4.5132|1.4738|-8.1278|17.0747|21.3751|6.232|1.2719
we're||VBP|0.0|-1.8893|1.4333|4.5132|0.4943|-2.1382|9.2268|20.3808|2.6049|0.9646
working||VBG|0.0|-1.9767|2.9723|2.9723|0.6201|-4.5639|18.6067|18.6067|4.7046|0.1452
on||IN|0.0|-2.651|1.0019|3.2524|0.2817|0.7372|8.8808|20.1408|2.4657|0.0043
are||VBP|0.0|-4.3214|0.8682|2.5359|0.168|-2.8926|6.1769|10.5528|2.0984|0.3062
looking||VBG|0.0|-1.6794|3.8005|4.5925|0.8217|-3.4212|20.3378|20.3378|6.3065|0.4919
at||IN|0.0|-3.2448|2.7469|4.2951|0.8434|0.1352|14.087|21.076|4.7782|0.3062
ways||NNS|0.0|-3.3819|3.685|3.792|1.0628|-4.3315|20.4913|22.658|6.749|-0.9011
to||TO|0.0|-2.245|0.9488|3.7672|0.2994|-16.277|5.4481|21.8653|1.8804|2.1169
do||VB|0.0|-1.2879|0.9011|1.8348|0.2647|-6.1624|25.8418|25.8418|9.7735|0.4919
low||JJ|0.0|-3.7315|1.9447|3.4241|0.3828|-1.1033|8.9682|26.08|2.5065|0.0043
cost||NN|0.0|-2.9915|2.0549|2.2566|0.5423|-6.2785|25.4816|25.4816|7.8704|-1.1947
water||NN|0.0|-3.1387|1.4172|2.0549|0.3457|-2.2016|23.2994|25.4816|5.7139|0.9646
quality||NN|0.0|-2.2816|2.6958|2.8066|0.6907|-3.3393|23.9014|24.1871|6.8868|0.1964
testing||VBG|0.0|-1.2382|3.8608|3.8608|0.8242|-6.9318|24.4707|28.7011|8.4714|-1.0179
so|,|RB|0.0|-2.8938|3.7397|4.5487|1.07|-4.695|18.9225|28.1704|6.8296|-0.5718
that||IN|0.0|-4.5425|2.6493|5.4558|0.7665|-5.5863|20.2848|23.0662|6.8407|-0.6998
communities||NNS|0.0|-1.1989|4.9089|7.1601|1.5968|0.6196|29.5978|29.5978|7.8633|0.0379
can||MD|0.0|-2.1237|3.0811|4.9089|0.827|-1.3275|29.3681|30.9663|9.1239|-1.1141
maintain||VB|0.33|-1.1797|4.8475|4.8475|1.4485|2.8448|23.891|31.0082|6.2464|-0.5718
their||PRP$|0.0|-1.275|1.8187|4.8475|0.5498|5.1779|5.7618|23.891|1.5022|0.1452
own||JJ|0.0|-1.0511|0.6209|1.8187|0.1745|4.9179|3.9156|5.7618|1.1548|0.1452
water||NN|0.0|-1.338|1.7211|1.7211|0.3953|3.3761|14.1117|14.1117|3.605|0.7085
systems||NNS|0.0|-1.4498|4.4613|4.4613|0.9088|-4.7549|26.0804|29.593|7.18|-0.6998
know|,|VBP|0.0|-2.5049|1.3839|4.4613|0.3231|4.4718|3.5288|27.2861|1.0042|0.0043
when||WRB|0.0|-2.3206|1.0549|1.56|0.2325|2.7271|4.9395|6.2791|1.5767|0.1452
they're||JJ|0.0|-3.5517|1.7199|2.795|0.483|2.5231|8.5975|8.5975|2.7477|0.3062
working||VBG|0.0|-3.3579|3.5497|3.5497|0.8224|-1.8484|19.7869|19.7869|5.6742|-0.1199
know|,|VBP|0.0|-4.2854|1.0711|3.5497|0.3038|2.1014|6.3095|19.7869|2.1625|0.3062
when||WRB|0.0|-4.1078|0.9425|1.418|0.2555|2.2654|6.272|6.328|1.9027|-0.1199
they||PRP|0.0|-4.7129|0.7081|1.3348|0.1745|0.066|11.9939|13.3352|3.4359|0.3062
treat||VBP|0.0|-10.1332|9.5239|9.8822|3.5591|-7.1878|23.6998|23.6998|7.626|-1.0179
them||PRP|0.0|-14.3827|0.4865|10.041|0.1423|-3.9579|23.5973|24.9865|7.7795|-0.9815
etc|,|FW|0.0|-13.9984|1.5941|1.5941|0.4645|-0.9294|24.6386|26.2989|7.4793|-1.2632
we're|.|NN|0.0|-3.8318|8.2687|12.7301|2.5477|2.776|18.1202|28.0589|6.6774|-0.1199
also||RB|0.0|-1.2693|4.0502|11.476|1.0954|0.7707|21.5563|21.5563|7.1071|0.4919
looking||VBG|0.0|-2.6116|2.2311|4.5476|0.6103|-1.766|17.9629|24.6052|5.1141|0.3956
