word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
and|.|CC|0.67|1.2449|2.8843|10.9336|0.8069|10.3507|1.0699|20.5384|0.3275|0.7085
what||WP|0.0|2.8843|2.9041|4.3532|0.6191|3.6322|14.5088|14.5088|5.4699|-0.6386
we||PRP|0.0|3.0253|1.1183|2.9041|0.391|5.4474|11.1389|14.5088|3.6012|0.7085
could||MD|0.0|1.6803|6.5096|6.5142|2.5025|1.1972|12.6266|14.7609|4.4264|0.9646
use||VB|0.0|2.2502|4.5141|6.5096|1.1413|4.141|14.5494|14.9317|4.5029|-0.8082
as||IN|0.0|0.527|4.3108|4.5246|1.2185|-0.3545|17.0641|19.5795|6.0825|0.3062
a||DT|0.0|-0.4109|3.6343|5.7481|1.2523|1.6345|12.4568|17.0641|3.49|1.6474
binder||NN|0.0|0.6037|7.4629|7.4629|2.3833|6.8636|17.7151|19.133|5.0152|-0.5361
was||VBD|0.0|-1.9075|2.8922|7.4629|0.859|1.2324|20.1434|23.9391|6.0416|-0.1199
actually||RB|0.0|-0.6392|4.3212|5.0602|1.3203|3.7543|18.4103|24.1789|5.1009|0.4269
small||JJ|0.0|3.0717|6.3883|8.9092|2.181|1.3526|22.2536|22.2536|8.2271|-1.1947
amounts||NNS|0.0|-2.2257|7.9591|9.9279|2.0572|2.8072|21.0588|22.6477|6.2907|-0.2304
of||IN|0.0|-2.5393|3.3332|7.9694|1.044|-3.8226|20.7759|26.3232|6.7296|1.2719
cow||NN|0.0|-2.1957|3.1657|3.431|0.8078|0.8411|26.7894|26.7894|9.4006|-0.6998
manure||NN|0.0|-3.8634|2.1585|4.8196|0.4609|3.9731|6.5728|26.7894|1.2875|-0.3748
which|,|WDT|0.0|-4.0272|1.2651|2.1585|0.3056|-3.1845|17.7566|20.1392|5.4185|-0.5718
they||PRP|0.0|-4.0088|1.9642|1.9642|0.7099|-2.4456|28.1308|28.1308|10.9374|0.1452
used||VBD|0.0|-4.7346|1.4375|2.4297|0.3432|-3.2529|17.9954|28.1308|4.8162|-0.9011
ordinarily||RB|0.0|-4.7208|4.149|4.149|0.9503|2.5309|16.2293|23.5668|4.4672|0.5744
for||IN|0.0|-5.5894|2.9785|4.6252|1.0906|-7.3262|19.5197|23.6341|7.7707|-0.1199
their||PRP$|0.0|-6.3858|2.2904|3.0623|0.6584|-3.8587|18.6252|19.5197|5.3233|0.3062
fuel||NN|0.0|-10.9211|7.9807|9.21|2.3214|-0.5922|23.4922|23.4922|7.8376|-1.2838
and|.|CC|1.68|4.7034|3.434|20.9249|0.8951|6.8981|7.352|26.7827|2.8424|0.4919
we||PRP|0.0|5.7334|2.6205|3.4746|0.8305|7.539|13.8185|13.8185|3.8508|0.7085
did||VBD|0.0|5.3033|2.6786|3.0251|0.815|1.4063|17.2264|18.3935|6.1545|-0.4182
side||VB|0.0|4.3109|3.97|3.97|1.477|2.7018|19.9807|19.9807|7.671|-0.9427
by||IN|0.0|1.7716|2.0018|5.1287|0.5442|7.3148|15.3692|20.2346|4.5109|0.0043
side||NN|0.0|0.3411|4.2858|4.389|1.5403|1.0636|21.6706|21.6706|7.8097|-1.0179
tests||NNS|0.0|-4.9828|6.3699|10.4384|2.1651|-6.6555|29.141|31.2568|8.5077|-1.4705
and|,|CC|0.0|0.0|0.0|7.3456|0.0|0.0|0.0|29.141|0.0|0.0
here||RB|0.0|2.7902|4.7448|4.7448|1.5578|2.0479|18.242|18.242|6.5051|0.0
you||PRP|0.0|2.2967|1.2655|4.7448|0.3292|5.9528|12.5637|18.5367|4.411|0.9646
can||MD|0.0|2.0074|2.9176|3.2285|0.8034|0.8501|18.9589|20.0086|6.7706|-0.2304
see||VB|0.0|1.8494|2.4367|2.9176|0.5162|-7.7589|17.1822|21.2808|4.5373|-0.8082
the||DT|0.0|9.4988|1.979|10.2965|0.6108|2.0226|13.5872|19.7967|4.9352|0.1452
charcoal||NN|0.0|4.3581|8.5177|9.1918|2.3475|0.9673|20.4209|20.4209|6.7434|-0.4986
briquettes||NNS|0.0|-0.5156|4.5342|12.5873|1.362|-1.9654|22.2034|23.0194|7.5474|0.0493
and||CC|0.0|-1.6727|3.6337|5.5302|1.037|1.0917|15.123|22.2034|3.9976|0.4919
here||RB|0.0|-3.3225|3.2608|4.1324|0.9356|-0.1923|17.5679|17.5679|5.6081|-0.4986
the||DT|0.0|-3.9146|0.6323|3.2608|0.2141|-2.378|14.7348|17.5679|5.3096|1.6474
cow||NN|0.0|-4.2954|2.2814|2.2814|0.8061|0.0744|22.8148|22.8148|8.068|-0.7562
dung||NN|0.0|-5.987|1.7354|3.6226|0.5174|-1.2466|11.0079|22.8148|3.5002|-0.6998
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
