word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
and|.|CC|0.0|-4.3698|2.603|8.0144|0.9461|2.5094|6.7034|28.0556|1.8737|0.4919
he's||NN|0.0|0.8191|9.342|9.6129|2.4263|0.3745|17.3375|17.3375|6.365|-0.7562
found||VBD|0.0|6.3158|3.1047|12.6764|0.7194|1.203|27.4437|27.4437|9.2215|-0.6998
that||IN|0.0|0.2136|9.445|10.786|2.7768|-0.6082|18.1191|27.4437|6.5554|-0.2304
worldwide||IN|0.0|-0.1196|9.105|11.3109|2.5038|5.3804|13.9918|20.6086|3.6697|-1.1285
you|,|PRP|0.37|0.5897|3.9906|9.105|1.2821|5.4158|14.0498|16.5791|3.9594|0.9646
could||MD|0.0|2.2912|6.073|6.8739|1.6672|-2.9842|21.2783|21.8889|6.5149|1.1109
prevent||VB|0.0|0.9194|6.8418|6.9595|1.8323|-0.9737|24.0778|24.0778|7.5185|-0.3748
a||DT|0.0|-2.4036|3.4223|8.5408|0.9774|3.4544|17.0731|24.0778|4.4252|0.4919
million||CD|0.0|0.4095|5.8515|6.3488|1.8817|6.2698|6.8645|18.0861|1.8421|-0.9222
deaths||NNS|0.0|-3.4777|7.1719|9.1256|2.22|-2.9972|23.8396|23.8396|7.5389|-1.4455
switching||VBG|0.35|0.1575|3.6577|7.7598|1.1059|-0.0014|24.5387|26.2409|7.0122|-0.5718
from||IN|0.0|-2.084|3.8087|5.4989|1.1231|-0.4912|18.7913|24.5387|7.0233|-0.8082
wood||NN|0.0|-2.4117|3.3399|3.9876|0.9907|-1.0232|25.6726|25.6726|7.3862|-1.1425
to||TO|0.0|-1.5713|2.9861|4.1578|0.9411|-7.1247|19.6917|25.6726|6.2157|0.4919
charcoal||VB|0.0|-3.8895|6.9982|7.0652|1.8812|-1.5126|29.3106|29.3106|8.1706|-0.7562
as||IN|0.0|5.7384|3.6035|14.144|1.0721|-5.1716|16.9739|29.3106|6.6544|0.1452
a||DT|0.0|6.3652|0.6443|3.6035|0.1817|-5.3063|14.3354|19.6595|4.7469|3.5253
cooking||NN|0.0|7.2759|4.1425|4.1425|1.0883|-9.3007|23.3975|23.3975|7.5483|-0.2811
fuel||NN|0.0|5.7871|1.6874|4.4003|0.3009|-9.6192|15.6158|23.3975|5.852|-0.9815
that's|.|NN|0.48|5.2837|2.7176|4.0021|0.6404|-0.7347|19.9739|29.4998|7.4459|-0.4986
remarkable||NN|0.0|1.9405|12.5986|12.5986|3.8363|3.3677|20.8702|21.2609|5.8769|0.2638
but|,|CC|0.0|-1.6017|5.9857|12.9559|2.5666|3.7033|15.3994|20.8702|5.8944|-0.3292
up||RB|0.0|2.0459|1.2649|7.6773|0.2921|1.2212|20.4175|20.4175|8.0726|0.0043
until||IN|0.0|2.2092|3.9156|3.9156|1.0884|2.6862|18.7005|21.7463|6.2011|0.3956
now||RB|0.0|2.966|1.8393|3.9156|0.6354|8.8492|4.1221|20.4913|1.304|-0.2304
there|,|EX|0.0|0.4345|4.4362|4.7955|1.2192|3.7516|10.6141|13.1035|3.6804|0.1452
weren't||VBP|0.0|0.656|3.7321|4.8202|1.1596|1.7681|15.3948|15.3948|5.4409|1.1109
ways||NNS|0.0|1.5656|3.497|3.8179|0.8636|3.5202|15.821|16.9482|5.1959|-0.6386
to||TO|0.0|1.7743|1.8304|3.497|0.5349|-3.3308|14.7678|18.1648|5.3834|0.7085
do||VB|0.0|-0.842|6.9752|6.9752|2.6466|1.4036|13.7111|16.1682|4.3026|0.3062
it||PRP|0.0|0.1301|3.4917|6.9752|1.2819|2.4808|17.1948|17.1948|6.0629|0.9646
without||IN|0.0|-1.659|2.4962|4.7425|0.7054|1.4264|22.9406|22.9406|7.3886|0.0043
cutting||VBG|0.0|-0.8588|2.8797|3.3775|0.6739|1.6616|17.3016|22.9406|5.0293|0.2229
down||RP|0.0|-3.2513|3.018|5.9125|0.5513|3.6689|17.976|18.8828|4.9996|-0.6998
trees||NNS|0.0|-2.7518|7.1754|7.1754|2.1592|-1.2159|18.3|22.5082|5.6331|-1.2838
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
