word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
cotton|.|NN|1.02|11.7414|7.3032|23.9119|2.4912|6.2564|21.4453|31.5352|6.3659|-0.2535
does||VBZ|0.0|2.9965|16.8139|22.0643|4.866|5.8099|21.5714|21.832|6.9287|-0.5543
not||RB|0.0|-9.9007|4.3911|21.8068|0.8776|4.8721|25.1898|25.1898|9.4701|-0.4366
compete||VB|0.0|-12.8256|6.8|10.2253|1.6509|0.17|29.7318|30.3776|9.638|-0.4366
with||IN|0.0|-16.0535|5.4645|7.9571|1.2443|-5.8641|27.1947|30.6053|9.4377|-0.9783
opium||NN|0.75|-18.8341|7.493|9.0782|2.1776|0.3234|27.2562|29.5603|7.8406|0.1052
a|;|DT|0.93|8.1682|0.5574|30.065|0.1956|-0.191|25.5663|28.1207|10.6425|1.0532
t||JJ|0.0|5.2829|6.9409|7.1603|2.4532|2.1461|25.6838|26.6161|10.1428|0.1052
shirt||NN|0.0|5.4065|5.6682|6.9409|1.4507|2.1283|24.4226|27.0316|7.1718|-0.6533
does||VBZ|0.0|0.0|0.0|7.9712|0.0|-9.6031|29.3351|29.3351|9.0035|-0.9291
and|.|CC|1.82|0.2603|2.3597|2.3597|0.5256|-1.674|32.1944|32.6077|11.2325|-1.2221
we||PRP|0.0|-1.2817|2.1722|3.6771|0.5403|-4.582|37.2858|38.0136|15.6832|-0.294
need||VBP|0.0|-0.5824|2.4407|2.4407|0.4723|7.1356|23.0145|37.6054|7.5678|-0.8429
to||TO|0.0|2.593|8.7127|10.6888|2.6454|3.1701|17.9999|23.0145|6.3015|-0.0133
understand||VB|0.0|2.2129|13.9684|13.9684|3.1085|1.2929|31.3115|31.3115|9.3894|-0.4981
it's|,|VB|0.0|-0.7727|3.297|13.9684|0.8059|-3.6425|33.8467|34.8463|11.0415|-0.2108
the||DT|0.0|-5.6536|9.5996|11.7817|3.4497|2.3733|23.9269|35.0519|9.3443|1.3693
value||NN|0.0|-7.0486|7.5743|9.8102|1.9523|6.976|22.1002|24.6056|4.901|-0.9544
chain||NN|0.0|0.0|0.0|10.7983|0.0|-5.0631|12.962|26.213|3.3357|-0.3688
look|.|VB|0.33|1.1784|5.5591|5.5591|1.6114|-6.9747|34.3043|34.3043|12.6488|-0.7752
the|,|DT|0.0|4.0768|5.6072|8.439|1.6024|10.8092|16.0446|36.2372|4.2462|-0.4366
ordinary||JJ|0.0|9.4549|9.9903|14.7061|2.27|9.5755|17.2494|17.2494|3.9544|1.2838
afghan||NN|0.0|-1.2998|12.1413|20.8455|2.9402|2.3305|28.5806|30.4056|9.0734|-0.8102
is||VBZ|0.39|-0.0794|3.1688|12.1413|0.729|-2.5167|26.4624|30.1063|9.5594|-1.0222
sick||JJ|0.0|-4.2864|6.7553|10.0518|1.5848|-1.9765|24.1637|26.4624|9.0774|-0.7375
and||CC|0.0|-11.4648|8.1936|13.4121|2.0088|7.8906|20.362|24.9704|6.1238|-0.0133
tired||JJ|0.0|-13.4606|11.4303|14.3745|3.0209|3.8172|21.3834|21.8536|6.8938|-1.1589
of||IN|0.0|-3.8316|5.0199|20.5045|1.6325|4.7478|17.7968|21.3834|6.5498|0.2406
hearing||VBG|0.0|-5.407|7.207|8.3994|2.2949|6.1291|19.636|19.8239|6.4045|0.3159
about||IN|0.0|-9.478|4.2811|9.5083|1.0034|5.4592|18.4151|19.6895|5.1016|0.5792
microcredit||NN|0.0|-12.1234|8.2876|8.8466|1.8807|-1.7682|29.7878|31.1377|8.6013|0.0741
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
