word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
now|.|RB|2.39|8.4585|13.3185|24.2093|4.6987|2.4056|34.7317|42.4091|10.8151|-1.2332
in||IN|0.46|2.0324|2.0693|15.1059|0.5294|9.7913|16.0982|34.7317|5.3682|-0.3688
order||NN|0.0|7.7822|8.6926|10.0298|2.7583|7.2057|19.3598|19.3598|5.1011|-0.1179
to||TO|0.0|2.9886|5.7711|12.8062|1.5984|-0.1512|22.536|23.8574|7.9029|0.2406
do||VB|0.0|-2.7152|8.0889|11.9643|2.0929|6.6538|10.503|22.536|3.8432|-0.1179
this||DT|0.0|-9.1558|5.335|12.8977|1.5377|2.4597|21.1836|21.4134|7.5412|-0.4366
and||CC|0.0|-11.0378|5.1334|6.2071|1.5989|9.5873|14.8761|24.2601|4.4363|0.3969
this||DT|0.0|-10.3932|6.0866|6.2446|1.6189|2.8318|18.437|20.2544|6.871|-0.1179
brings||VBZ|0.0|-11.5591|11.8468|11.8468|3.5072|7.2166|20.8538|20.8538|4.8688|-0.7375
this||DT|0.0|-15.1357|4.4891|12.0061|1.4668|1.452|19.4272|21.1267|6.2798|-0.4981
group||NN|0.0|0.0|0.0|17.5154|0.0|-9.1077|27.8526|34.9887|8.776|-1.0617
we||PRP|0.8|0.6757|2.8759|2.8759|0.7857|11.7864|3.0027|36.2937|0.9011|0.2406
have||VBP|0.0|3.1778|4.4404|5.3432|1.2325|1.3182|24.9045|24.9045|8.145|-0.9291
to||TO|0.0|3.096|3.0277|4.4404|0.9917|0.1358|26.6621|28.0499|10.7381|0.5792
rethink||VB|0.0|-2.3358|6.476|9.915|1.8816|3.3571|26.5304|27.2763|7.7687|-0.2535
the||DT|0.0|-5.6894|1.8788|7.5566|0.545|-1.9072|22.2706|27.1407|9.1582|2.9494
notion||NN|0.0|-7.2017|2.5096|3.4053|0.7399|6.7219|16.0343|26.8357|5.8937|0.2406
of||IN|0.0|-8.5704|0.0|2.5096|0.0|0.5895|21.372|21.9566|8.0029|1.0532
capital||NN|0.0|0.0|0.0|8.5704|0.0|-8.0394|34.5503|35.4058|10.3358|0.7186
the|.|DT|2.03|12.9282|4.3273|16.0431|1.3652|4.7178|24.5002|37.5853|7.1012|-0.1179
least||RBS|0.0|14.8406|4.4275|4.4678|1.3371|2.3578|32.8692|33.5943|11.1725|-1.1726
important||JJ|0.0|12.701|13.3139|13.5627|3.0508|6.2178|27.8422|34.2251|7.3949|-0.1179
form||NN|0.0|-1.7006|5.6471|19.4965|1.6128|5.4527|22.2591|27.8422|8.2985|-0.4366
of||IN|0.0|-4.2798|1.9979|7.6464|0.5834|2.2115|20.8122|22.2591|8.5297|1.0532
capital||NN|0.0|-6.0771|5.8443|5.8443|2.3629|-3.0899|35.0526|35.0526|10.6785|-0.3198
in|,|IN|0.87|4.8178|4.6971|14.9116|1.5594|13.1257|4.5252|37.0001|1.157|-0.1179
this||DT|0.0|2.6895|3.8502|5.8109|1.002|4.0066|18.9216|20.3673|7.2767|-0.0133
project||NN|0.0|-0.4053|12.9703|12.9703|4.3785|3.042|22.4679|22.7536|8.8036|-0.3688
is|,|VBZ|0.0|-0.033|1.9716|12.9703|0.7201|0.8336|17.2193|22.4679|6.4087|0.2406
financial||JJ|0.0|-4.2011|7.6082|9.684|2.0485|5.2446|24.4337|24.4337|6.914|0.064
capital||NN|0.0|-3.2881|2.8944|7.6082|0.5613|-8.4507|29.2994|38.098|8.5579|0.4545
money||NN|0.0|-6.3902|13.7961|13.7961|3.0434|8.0285|13.6016|38.9204|4.787|0.3969
money|.|NN|1.97|-6.4786|9.305|13.7961|2.61|9.4505|27.737|27.737|7.5337|-0.6533
is||VBZ|0.0|-2.1057|6.7854|14.8881|1.9504|5.1029|20.7619|27.737|6.4429|-0.4981
not||RB|0.0|0.624|3.7641|6.8102|1.0878|5.3645|22.2976|22.8275|8.5843|-0.5543
capital||VBN|0.0|-2.1475|7.2299|7.4948|1.4727|0.8519|26.6167|26.6167|9.3079|-0.2108
in||IN|0.0|-4.3226|3.0085|7.5466|0.7819|2.6121|31.7804|33.2156|12.5982|-0.1179
most||JJS|0.0|-6.0685|2.1513|4.1537|0.6501|3.2505|24.6155|31.8568|9.1616|-0.7375
of||IN|0.0|-10.2052|6.0095|7.8911|2.0544|3.9826|6.387|24.6155|2.1206|1.7643
the||DT|0.0|-11.189|3.0452|6.0095|0.951|4.448|9.9686|9.9686|3.9072|1.7643
developing||NN|0.0|-10.2004|4.9744|5.7548|1.6176|0.721|24.2029|25.3698|6.1573|1.0532
countries||NNS|0.0|0.0|0.0|12.1035|0.0|-12.5273|29.1843|33.9718|7.6924|-0.7752
it's|.|NN|0.0|0.0|0.0|0.0|0.0|0.0|0.0|29.1843|0.0|0.0
just||RB|0.0|-0.4505|3.993|3.993|0.9672|1.3619|25.5272|25.5272|9.0937|0.0
cash||NN|0.0|0.0|0.0|3.993|0.0|0.8368|25.4362|26.3772|6.409|-1.0799
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
