word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
you|.|PRP|0.57|1.748|5.2414|11.3128|1.8218|12.0636|3.1412|38.6281|1.041|0.7947
would||MD|0.0|4.1947|6.439|7.0517|1.6636|3.1085|22.1354|23.9691|9.1685|-0.2108
think||VB|0.0|2.0919|3.9072|6.8179|0.9308|3.3704|23.3759|23.3759|8.9057|-0.4981
that||IN|0.0|-2.2856|8.4285|8.4285|1.9659|-3.1425|34.0595|34.0595|11.1467|-1.0799
the||DT|0.0|-4.2337|3.1109|9.6495|1.1587|2.4131|33.8632|34.3078|10.7957|0.5792
u||JJ|0.0|0.0|0.0|5.9602|0.0|0.0|0.0|33.8632|0.0|0.0
s||JJ|0.0|-0.1709|4.2329|4.2329|1.3363|6.2228|21.802|21.802|6.9205|0.0
government||NN|0.0|-2.7667|12.4112|12.9418|3.7849|6.2262|18.3819|21.802|5.2898|0.1052
would||MD|0.0|7.6402|3.3062|20.5485|1.0246|5.8956|5.9429|18.3819|2.358|0.3969
not||RB|0.0|10.4314|4.2405|5.6019|1.3867|4.0564|22.3284|22.3284|8.7701|-0.6533
think||VB|0.0|12.0667|4.1097|6.5724|1.0412|4.138|24.2839|24.2839|8.4995|-0.4366
that||IN|0.0|6.7435|9.2091|9.5695|2.2782|-2.1753|30.2463|30.7768|10.4918|-0.9783
american||JJ|0.0|8.6831|8.0679|10.5063|2.0937|5.3449|30.5905|30.6302|7.7336|0.6823
firms||NNS|0.0|-0.4556|5.7999|13.9196|1.7832|-7.342|39.6173|39.6173|12.5013|-1.3727
needed||VBD|0.0|-4.8458|7.9832|11.5345|2.5638|0.1922|37.4672|39.6173|10.3976|-1.3903
subsidizing||VBG|0.0|-13.1683|13.0361|21.0815|3.8719|-3.6803|36.2487|39.5315|11.2879|-0.8429
to||TO|0.0|-0.1454|3.6413|23.0726|1.3275|-6.7321|38.3447|41.8029|15.8995|0.3969
function||NN|0.0|-0.7107|6.0365|6.0365|1.1192|3.4225|28.9186|41.7996|7.1444|-0.7752
in||IN|0.68|0.5295|2.0904|6.0365|0.5835|2.0503|30.5925|30.5925|12.7757|0.2406
developing||VBG|0.0|0.2357|6.1066|6.1066|1.2932|6.7094|20.1547|30.5925|5.417|1.2029
countries||NNS|0.0|7.9161|11.0217|14.4619|2.6492|-8.4899|39.2769|40.0379|12.3165|-1.0117
provide|,|VBP|0.0|11.0441|3.739|11.8359|1.0096|2.2032|38.3616|40.8119|11.8805|-0.2535
advice||NN|0.0|13.2598|6.4992|7.3191|2.24|0.6595|26.3449|38.3616|8.0492|-0.8584
but|,|CC|0.0|1.7515|3.2591|15.8284|0.9817|2.8505|31.5884|32.1212|8.5729|0.1052
they||PRP|0.0|3.1794|4.6831|4.6831|1.117|5.5985|20.4059|31.5884|6.8738|0.5792
do||VBP|0.0|6.4515|7.8585|10.3157|2.7516|-4.0222|24.852|25.9655|9.0155|-0.3688
there's|.|NN|0.0|0.0|0.0|10.6388|0.0|0.0|0.0|24.852|0.0|0.0
an||DT|0.0|-0.5779|4.8292|4.8292|1.1928|2.499|26.1221|26.1221|8.1272|0.0
entire||JJ|0.0|3.9959|10.8994|14.4265|4.07|6.836|21.7842|26.1221|6.0567|-0.793
weight||NN|0.0|1.0594|6.7946|10.9691|1.5069|6.2081|21.484|22.1139|7.1888|-0.7752
of||IN|0.0|-1.8946|6.2169|10.7977|2.2304|4.6808|17.5206|21.484|5.489|1.0532
history||NN|0.0|-4.7953|8.5263|11.1911|2.1275|-3.9184|29.2176|30.8425|7.2948|-0.6058
vis||FW|0.42|2.8585|14.1263|17.3529|3.7138|7.7548|16.6049|34.0342|5.4851|-0.697
a||DT|0.0|4.099|3.7281|14.1263|1.1117|11.8031|7.0951|16.65|2.1518|2.2722
vis||NN|0.0|1.394|4.3372|6.5967|1.1052|2.9968|22.8785|26.8766|7.6561|-0.9021
aid||NN|0.0|-3.4606|6.9085|9.4602|1.7685|-4.1426|34.2125|34.2125|11.9474|-1.2738
that||WDT|0.0|-2.0728|6.3936|8.4212|1.9785|3.6595|19.4009|36.1673|7.5758|-0.3688
now||RB|0.0|-3.1897|4.1999|7.7728|1.3304|8.8923|7.6684|19.4009|2.2828|0.1052
needs||VBZ|0.0|-6.3844|6.6495|9.1234|2.1176|4.2353|19.2753|19.5692|6.5846|-0.8735
to||TO|0.0|-7.7291|1.3188|6.6495|0.423|-5.2221|13.1551|21.2908|5.6132|1.7643
be||VB|0.0|-8.1988|7.7914|7.7914|1.9244|5.0872|21.1292|21.5688|5.7778|-1.1589
reexamined||VBN|0.0|0.0|0.0|13.5758|0.0|0.0|0.0|21.1292|0.0|0.0
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
