word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
we're|.|NN|2.65|5.3097|10.3198|10.3198|2.3885|4.2949|6.4228|22.7628|1.5986|-0.4466
going||VBG|0.0|5.7266|6.3323|10.9393|2.3359|4.0895|10.6138|10.6138|3.7547|-0.074
to||TO|0.0|6.5885|1.9723|6.3323|0.5736|5.7113|5.6582|10.6138|1.9385|2.2675
go||VB|0.0|3.8277|5.4412|7.0273|1.9446|4.2245|7.2768|7.2768|2.8574|0.6089
back||RB|0.0|4.1602|8.5559|8.5559|2.5358|1.5204|20.6874|20.6874|5.8977|-0.8143
to||TO|0.0|5.9824|1.5192|8.5559|0.4811|-1.6473|21.5825|21.609|8.0777|0.2772
the||DT|0.0|5.2278|2.0969|2.8047|0.7042|5.568|9.1562|21.5825|2.6916|1.3829
moon||NN|0.0|3.7763|11.7119|11.7119|2.7061|4.7934|17.4326|17.4326|3.019|-1.5473
fifty||NN|0.0|0.0|0.0|11.7119|0.0|0.0|0.0|17.4326|0.0|0.0
years||NNS|0.0|-5.684|10.1374|11.1261|2.103|4.9085|11.8653|11.8653|2.9548|0.0
later||RB|0.0|-5.6199|9.726|10.6323|3.1899|3.703|8.8357|11.8653|2.3198|-0.6811
and|?|CC|1.53|1.8985|1.0253|13.9832|0.3836|7.1689|1.7691|9.237|0.5223|0.82
we're||VB|0.0|2.8442|1.3888|2.2181|0.5378|7.5151|5.3727|5.3727|1.5594|0.82
going||VBG|0.0|1.9824|2.1984|2.9135|0.7391|3.6475|8.5012|9.3187|2.7387|0.2772
to||TO|0.0|-0.0949|5.158|5.6374|1.6543|3.8903|5.4422|8.5012|1.9313|1.3829
do||VB|0.0|0.7347|15.3056|15.3056|6.1218|5.1125|6.7812|7.8355|2.2922|-0.718
it||PRP|0.0|5.834|2.4449|15.3056|0.4761|-1.4379|18.386|18.386|6.9398|-0.6414
very||RB|0.0|12.3985|8.812|10.5043|2.8198|4.5055|16.5842|18.718|3.9053|-0.4171
specifically||RB|0.0|9.7382|8.3285|8.812|2.4102|-3.7033|29.6687|29.6687|7.8333|-0.5224
planned||VBN|0.0|-0.0097|13.9521|22.0823|4.8837|-1.0704|30.7684|32.0324|7.8098|-1.1558
to||TO|0.0|0.0|0.0|13.9521|0.0|0.0|0.0|30.7684|0.0|0.0
not||RB|0.0|-2.7753|4.3424|4.3509|0.9477|1.5734|18.7145|18.7145|5.8381|0.0
learn||VB|0.0|0.1393|0.9467|4.8848|0.3154|5.8851|4.6819|18.7145|1.3473|-0.2466
anything||NN|0.0|-0.2002|2.1051|2.1051|0.5281|3.7534|3.5733|5.8365|0.8242|0.2772
new||JJ|0.0|3.931|5.5799|7.893|1.9908|3.704|4.6513|4.6513|1.2129|0.2772
i'm|.|NN|1.7|2.1949|10.7921|10.7921|3.8364|5.1047|3.7575|6.2158|1.1314|-0.8936
really||RB|0.0|3.551|12.6357|12.6357|4.3446|6.1689|12.7023|12.7023|2.3138|0.0284
troubled||JJ|0.0|-2.4616|8.5507|16.9069|2.4617|1.0973|18.3584|18.3584|5.3429|-1.0165
by||IN|0.0|-5.9694|3.2686|9.3749|0.8472|5.2072|6.9328|18.3584|2.1668|-0.1651
that||DT|0.0|-3.655|4.3394|5.5557|1.2458|-3.9273|20.6144|24.0992|7.2227|-0.5521
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
