word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
now|.|RB|0.88|-1.9389|11.2835|16.0346|3.1175|-2.0967|38.2627|38.2627|13.4183|-1.2332
the|,|DT|0.0|-0.9327|7.0831|11.3694|2.6604|-0.011|37.9359|38.8556|10.924|-0.7375
issue||NN|0.0|6.2377|6.2|13.6763|1.7756|5.0377|30.4436|38.1998|6.0998|-1.3006
that||WDT|0.33|11.5126|4.9971|10.5819|1.5618|1.789|28.7945|30.839|9.9492|-0.4981
should||MD|0.0|12.2423|4.2901|6.0599|1.3171|-4.061|27.8942|30.4914|8.8417|-0.4981
concern||NN|0.0|9.121|13.5268|13.751|3.6529|4.5049|30.7703|30.7703|9.4847|-0.793
us||PRP|0.0|4.2093|0.0436|13.5268|0.0131|1.1982|21.9512|30.7703|6.672|0.1052
here||RB|0.0|4.1403|6.7398|6.7398|1.7919|-0.476|24.0395|24.7784|9.6697|-1.0972
and||CC|0.0|-2.4211|1.4829|12.005|0.4077|7.0456|10.8288|25.1081|3.3224|0.2406
that's||VB|0.0|-0.8046|3.2504|3.3212|0.8156|3.2393|24.6445|24.6445|9.7417|-0.3688
the||DT|0.0|-1.8569|3.0656|3.5183|1.1123|-0.9705|19.6559|25.5747|7.5536|0.7947
challenge||NN|0.0|-4.9124|12.8546|12.8546|4.2346|3.7381|26.018|26.018|7.2411|-0.63
that||IN|0.0|-5.8437|3.6367|12.8546|0.5821|-10.6476|39.1806|39.1806|12.9382|-1.3169
i||NN|0.0|-5.4653|0.2637|3.6367|0.0938|4.1812|40.0313|40.0313|13.0063|0.1052
would||MD|0.0|-6.7771|3.2193|3.4458|1.0523|5.0136|4.8506|40.0313|1.6374|-0.2108
like||VB|0.0|-6.5853|3.6418|4.0055|1.0338|1.7335|28.0905|28.0905|9.6014|-0.5543
to||TO|0.0|-5.6016|4.0119|5.4233|1.2284|-1.7556|28.5453|30.6128|9.8962|-0.8102
pose||VB|0.4|-7.2217|9.9944|9.9944|2.29|0.0331|31.0464|31.3496|9.6423|-1.1445
to||TO|0.0|-4.0486|2.5169|10.1905|0.7337|-5.0987|26.4267|31.0464|9.8024|0.5792
this||DT|0.0|0.6545|8.1396|8.2041|2.9259|3.9183|16.5785|29.2568|5.6|-0.5543
group||NN|0.0|0.6206|3.2737|8.1396|1.1385|-11.2931|27.3626|34.9322|8.3487|-1.0009
is||VBZ|1.03|1.9388|3.6637|4.3608|1.0344|-9.1602|42.2159|42.2159|14.9818|-1.3322
again||RB|0.0|2.1742|8.7347|8.7347|2.0226|4.7489|34.2474|42.2159|7.4727|-0.7375
it|,|PRP|0.5|0.6805|3.0458|9.5498|0.7143|-1.9833|31.1106|34.2474|11.902|-0.3688
takes||VBZ|0.0|4.3603|3.3022|6.4591|0.7979|-4.76|38.858|38.858|11.5167|-1.2543
sixteen||JJ|0.55|5.9773|5.6378|6.2351|1.3416|-2.4233|38.089|39.183|12.8756|-0.7375
years||NNS|0.0|-2.9255|11.5493|17.3855|3.499|-3.539|33.1023|38.089|11.4463|-1.2221
in||IN|1.42|5.2866|5.6209|16.8163|1.8769|12.2043|1.5054|33.7618|0.4893|0.1052
your||PRP$|0.0|2.7726|7.1201|7.8341|1.9334|9.8983|20.9091|20.9091|5.3664|-0.4981
countries||NNS|0.0|3.8437|10.4368|10.4368|2.2321|-1.7757|33.3802|35.8444|9.6575|-0.9158
to||TO|0.0|0.0|0.0|10.4368|0.0|0.0|0.0|33.3802|0.0|0.0
produce||VB|0.0|0.8267|4.9517|4.9517|1.2677|4.4154|21.6385|21.6385|6.4881|0.0
somebody||NN|0.0|-1.7313|5.835|7.1009|1.6391|4.4928|21.1222|22.4495|6.0006|0.7372
with||IN|0.0|-6.7961|9.6688|14.6284|3.4617|1.8526|22.8233|26.1369|8.0696|-0.0133
a||DT|0.0|-17.1543|5.4014|16.4311|1.7158|6.0879|10.136|25.0317|4.3721|2.2722
b||NN|0.0|0.0|0.0|19.3955|0.0|0.0|0.0|10.7742|0.0|0.0
s||NN|0.0|-19.3215|4.5119|21.0734|1.275|1.9266|25.8077|25.8077|8.7811|0.0
degree||NN|0.0|-21.2386|0.3907|4.9232|0.107|-4.5535|28.2719|32.4188|7.9891|-0.9544
it|.|PRP|0.0|0.0|0.0|21.4847|0.0|-4.2649|31.1012|31.1012|9.3751|0.3969
takes||VBZ|1.45|0.7647|7.9574|7.9574|2.1385|1.4975|24.4336|38.7945|8.7465|-0.4981
twenty||JJ|0.0|4.2926|7.1029|12.0485|1.8675|3.9267|31.7721|31.7721|11.311|-0.2108
years||NNS|0.0|-5.2619|10.7304|17.1989|2.8675|7.3578|16.7256|31.7721|3.7094|-0.697
to||TO|0.0|0.0|0.0|10.7304|0.0|-11.3516|10.8984|31.4077|4.117|1.0532
produce||VB|0.0|-1.235|6.1208|6.1208|1.3753|0.315|32.4516|32.4516|10.1327|0.1706
somebody||NN|0.0|-3.0902|6.1672|8.2352|1.5149|3.3111|22.9012|34.3893|6.5941|1.1262
with||IN|0.0|-5.2668|4.0453|9.1336|1.2538|1.4867|20.5488|23.5951|7.0161|0.1052
a||DT|0.0|-5.5698|4.5739|4.9196|2.0168|5.5315|8.2279|21.3017|3.2527|3.8974
phd||NN|0.0|-9.1579|6.358|8.5361|2.0825|-5.5078|34.5085|34.5085|9.7813|-1.1984
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
