word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
ninety|.|NN|0.0|-2.0319|20.1279|20.1279|6.9709|7.4833|18.5234|18.5234|6.34|0.0
one||CD|0.0|3.5241|2.3685|20.1279|0.5403|11.4951|5.8566|19.1348|1.7711|-0.4981
percent||NN|0.0|1.3645|7.0413|7.0413|1.7142|1.6565|21.2532|23.3533|7.5646|-0.294
of||IN|0.0|-1.1415|3.6628|8.1256|1.2133|3.5304|13.5064|21.2532|3.535|0.7947
the||DT|0.0|-1.3181|2.5893|4.114|0.8338|0.8668|17.7961|17.7961|7.2341|2.2722
men||NNS|0.0|-1.9078|3.4574|3.7139|0.9245|9.2564|6.7425|18.6191|1.374|-0.294
in||IN|0.0|-1.5844|1.256|3.4574|0.3969|8.9438|2.3023|6.7425|0.7018|0.7947
afghanistan||JJ|0.0|-2.5734|2.4692|3.1042|0.5036|-1.7168|26.5228|26.5228|9.161|-0.3688
eighty|,|NN|0.0|-2.71|6.5575|6.5575|1.7135|2.7436|19.2491|26.6477|7.1822|0.3159
six||CD|0.0|-2.1302|4.895|6.5575|1.1435|-4.29|18.9454|22.613|5.146|-0.6058
percent||NN|0.0|-4.7569|5.8069|8.7795|1.7003|-0.1813|25.6917|25.6917|8.6451|-0.1657
of||IN|0.0|-7.2568|2.4931|5.8387|0.7068|1.5873|7.5597|25.6917|2.2931|1.0532
the||DT|0.0|-7.7671|3.1816|3.5328|1.0957|4.1176|13.088|13.088|4.7079|1.3693
women||NNS|0.0|-13.7852|11.7939|14.9436|4.2305|2.1456|20.2045|20.2045|6.6681|-0.0133
listen|,|VBP|1.05|0.4635|5.8546|25.7481|1.432|5.3827|20.2615|23.5212|7.6687|0.3159
to||TO|0.0|-0.9021|2.3946|7.0712|0.8319|0.3708|16.7159|20.2615|6.37|1.3693
at||IN|0.0|-3.2456|2.0862|3.5018|0.5636|1.3215|15.5636|16.8188|6.2701|0.5792
least||JJS|0.0|-3.4377|3.8519|3.8519|1.0773|-3.1225|22.4928|23.2773|8.8161|-0.4366
three||CD|0.0|-4.7382|5.6135|5.8011|2.1521|4.7588|20.8048|23.4014|7.3575|0.0
radio||NN|0.0|-11.4259|5.7312|11.9133|1.5177|5.619|8.0496|20.8048|2.3791|0.6823
stations||NNS|0.0|-13.5643|3.2406|7.3441|0.5704|-2.9094|20.2545|23.3641|5.0694|-0.468
a||DT|0.0|-15.8533|3.5466|5.3849|1.4182|-1.6239|8.4386|20.2545|3.4051|2.2722
day||NN|0.0|-16.1927|1.8941|3.5466|0.702|-6.0396|11.6277|14.3255|4.8011|0.2406
<END>|.|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
