word|punctuation_before|pos|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
that|.|DT|0.0|-2.4546|5.6485|19.4143|1.5685|3.3535|14.5917|23.7185|4.525|-0.3199
has||VBZ|0.0|-3.6752|5.0569|7.1872|1.7772|2.0479|10.9296|14.5917|3.9015|-0.074
not||RB|0.0|-0.9292|5.2798|8.0345|1.9498|5.7147|10.0663|13.546|2.669|-0.5521
happened||VBN|0.0|-1.2577|5.443|6.2175|1.6329|1.4456|19.6324|19.6324|6.363|0.0284
at||IN|0.0|-5.454|2.7496|8.2182|1.0738|2.805|4.2252|19.6324|1.7493|1.7699
all||DT|0.0|-1.1214|3.7931|7.4711|1.3054|6.5621|6.0478|7.6166|1.7838|-0.5986
in||IN|0.0|-4.8988|2.7355|6.4067|0.8449|2.313|3.0377|7.3142|0.9727|1.0733
space||NN|0.0|-1.3309|8.688|8.9239|2.735|-3.0054|27.507|27.507|7.8644|-0.9799
flying||VBG|0.0|4.486|4.092|11.6871|0.9673|-0.4364|16.4852|27.507|5.1033|-0.8936
there's|.|NN|0.0|6.0676|3.1652|6.138|0.9018|2.104|1.5285|16.4852|0.5881|2.5737
only||RB|0.0|8.6715|3.408|4.7568|1.1015|3.7534|4.4189|5.3366|1.4|1.7699
been||VBN|0.0|5.6452|2.1517|5.3362|0.6631|3.4076|1.9642|4.4189|0.6341|0.4303
two||CD|0.0|3.953|5.3551|5.7743|1.5811|-1.4062|13.5204|13.5204|4.8089|-0.2466
concepts||NNS|0.0|-0.6588|7.2079|9.1913|1.8188|-1.8317|19.3108|19.3108|6.2254|-0.718
tried||VBD|0.0|-6.1616|6.8983|14.2082|1.8064|-2.0834|25.0567|25.6555|7.4531|-0.3863
two||CD|0.34|-11.8262|1.8171|9.4325|0.6244|2.9524|16.048|25.0567|4.8104|0.82
by||IN|0.0|-13.4245|3.14|3.6067|0.7764|4.5944|6.8163|16.4197|2.1687|-0.2466
the||DT|0.0|-15.4634|2.9557|5.8008|1.0213|4.5602|4.2388|6.8163|1.3648|0.4303
u||JJ|0.0|0.0|0.0|17.1468|0.0|0.0|0.0|6.2811|0.0|0.0
s||NN|0.0|-15.7909|2.0018|16.8578|0.5732|3.2312|17.6803|17.6803|5.3548|0.0
and||CC|0.0|-17.4241|1.7501|3.4499|0.5699|2.0114|11.6508|17.6803|3.9028|0.1445
one||CD|0.0|-17.3037|1.374|1.7501|0.4609|4.8772|2.4687|13.0844|0.711|-0.2466
by||IN|0.0|-18.1481|0.0|1.374|0.0|3.8399|3.4835|3.8131|1.0998|0.0284
the||DT|0.0|0.0|0.0|18.1481|0.0|2.7278|1.4785|3.6683|0.5632|1.3829
russians||NNS|0.0|-17.9361|0.5129|18.2639|0.1637|-1.1029|16.7795|16.7795|4.6804|-0.5016
well|.|RB|0.87|4.9401|5.2069|26.0446|1.6187|4.3961|12.6109|21.0756|4.1373|-0.718
who|,|WP|0.0|7.6386|7.6605|7.9917|2.9124|5.434|10.0573|12.6109|3.7327|0.1445
was||VBD|0.0|8.9582|2.8903|7.6605|1.2456|3.757|10.3868|11.6429|3.752|-0.074
inspired||VBN|0.0|2.5079|12.3007|15.0764|3.1954|2.8457|18.8758|18.8758|5.1904|-0.718
during||IN|0.0|-2.9537|3.9454|12.8096|1.1521|5.0881|9.0688|18.8758|2.477|0.9406
that||DT|0.0|-4.5403|2.7366|4.4712|0.7411|-1.9958|18.1622|19.4965|6.9787|-0.3863
time||NN|0.0|-3.405|3.9944|4.3469|1.0226|3.5926|16.7754|20.4988|4.4274|-0.718
period||NN|0.0|-3.7014|3.9232|3.9944|1.1547|2.4541|12.4086|16.7754|4.1869|0.516
<END>|?|<END>|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
