sent.id	word.id	conv	alt.conv	id	spk	seg.id	pid	tid	starttime	endtime	nwords	word	utt.position	punc
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words1	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.1	p.1	t.1	15	18	10	With	1	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words2	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.1	p.1	t.1	15	18	10	all	2	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words3	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.1	p.1	t.1	15	18	10	the	3	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words4	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.1	p.1	t.1	15	18	10	legitimate	4	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words5	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.1	p.1	t.1	15	18	10	concerns	5	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words6	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.1	p.1	t.1	15	18	10	about	6	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words7	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.1	p.1	t.1	15	18	10	AIDS	7	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words8	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.1	p.1	t.1	15	18	10	and	8	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words9	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.1	p.1	t.1	15	18	10	avian	9	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words10	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.1	p.1	t.1	15	18	10	flu	10	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words11	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.2	p.1	t.2	18	20	7	and	1	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words12	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.2	p.1	t.2	18	20	7	we'll	2	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words13	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.2	p.1	t.2	18	20	7	hear	3	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words14	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.2	p.1	t.2	18	20	7	about	4	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words15	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.2	p.1	t.2	18	20	7	that	5	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words16	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.2	p.1	t.2	18	20	7	from	6	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words17	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.2	p.1	t.2	18	20	7	the	7	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words18	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.3	p.1	t.3	20	22	5	brilliant	1	None
DeanOrnish_2006.DO.p.1.sent.1	DeanOrnish_2006.DO.words19	DeanOrnish_2006	0010	10	DO	DeanOrnish_2006.DO.p.1.seg.3	p.1	t.3	20	22	5	Dr	2	None
