niteid wstart wend conv participant nxt_agent mean.normI0 sd.normI0 max.normI0 min.normI0 median.normI0 q1.normI0 q2.5.normI0 q5.normI0 q25.normI0 q75.normI0 q95.normI0 q97.5.normI0 q99.normI0 slope.normI0 intercept.normI0 mean.normI0.slope sd.normI0.slope max.normI0.slope min.normI0.slope median.normI0.slope q1.normI0.slope q2.5.normI0.slope q5.normI0.slope q25.normI0.slope q75.normI0.slope q95.normI0.slope q97.5.normI0.slope q99.normI0.slope slope.normI0.slope intercept.normI0.slope
CraigVenter_2005G.CV.words3 16.45 16.76 CraigVenter_2005G CV CV 2.45241771108474 4.69080091119281 9.46500202439368 -3.67030214664022 1.55408646474012 -3.61210052084777 -3.52479808215908 -3.37929401767793 -2.40012555804516 6.17020165306327 8.62290574258901 9.04395388349135 9.29658276803275 -25.5461836083315 427.677891359042 -0.930380848211914 4.64375914751705 6.09162924312898 -6.95790034781417 -1.72125822499229 -6.9011691433947 -6.81607233676549 -6.6742443257168 -5.71223078210218 2.66204024594166 5.17601189267508 5.63382056790203 5.9085057730382 -24.5046351358009 406.958141443351
CraigVenter_2005G.CV.words4 16.76 16.86 CraigVenter_2005G CV CV 8.43935640849963 1.35185804715627 9.72450928498778 6.94873452069439 8.54209091415817 6.96980421711845 7.00140876175455 7.05408300281471 7.47547693129599 9.50597039136181 9.68080150626258 9.70265539562518 9.71576772924274 3.28973337946345 -46.8523535825117 5.2252792759749 1.35861356043194 6.47367161813844 3.68564334240352 5.37090107167883 3.70965388157355 3.7456696903286 3.80569603825368 4.28590682165434 6.31027352599939 6.44099199971063 6.45733180892453 6.46713569445288 4.33128185199414 -67.572103498203
CraigVenter_2005G.CV.words5 16.86 16.99 CraigVenter_2005G CV CV 2.05172932662553 2.5315375851427 5.31366408293468 -2.29122353687231 3.23337809047499 -2.27717433006382 -2.2561005198511 -2.22097750282988 0.598890381806633 3.67942637807724 4.63024725800752 4.9719556704711 5.17698071794925 -53.6085949484863 909.377198829756 -1.03981269148382 2.49806218430839 2.16085450761764 -5.34600502065705 0.105075538041021 -5.33073046270441 -5.30781862577546 -5.26963223089386 -2.44976434625734 0.575630848526346 1.50194470557356 1.8313996065956 2.02907254720882 -52.5670464759557 888.657448914066
CraigVenter_2005G.CV.words6 16.99 17.27 CraigVenter_2005G CV CV 0.10604762309974 8.44710053318884 10.2005684460951 -13.6244287679209 0.179098195111152 -13.4059681208299 -13.0782771501934 -12.5321255324658 -6.20771464190684 8.29589662557512 10.040032365299 10.120300405697 10.1684612299359 -83.7112610168666 1435.06089968707 -2.7597718158234 8.36286629498058 7.24381505384265 -16.3606189542257 -2.66737359416746 -16.1443639391942 -15.8199814166469 -15.279343879068 -8.99904562969854 5.34193653695096 7.07225081274912 7.15803293329588 7.20950220562394 -82.669712544336 1414.34114977138
CraigVenter_2005G.CV.words7 17.27 17.72 CraigVenter_2005G CV CV 5.09730914012454 4.85414863466742 9.04362733046092 -14.4626451858995 6.11593985280737 -13.4570532701353 -11.948665396489 -3.23344798890867 4.44968607494657 7.94476438436396 8.94940899441925 9.04343100296179 9.04354879946127 9.59295123310299 -162.737015595502 2.60006242692973 4.89110223228851 6.46652054695112 -17.1865818607627 3.73959261804644 -16.1764561457652 -14.6612675732688 -5.93471566760507 2.02902380826137 5.32804593461417 6.34987729757936 6.45538237636683 6.4620652787174 10.6344997056336 -183.456765511193
CraigVenter_2005G.CV.words8 17.72 18.1 CraigVenter_2005G CV CV -0.0448518282851513 6.18932039579396 7.98409760981475 -7.59628975771168 0.939798983513157 -7.59022778352978 -7.58113482225692 -7.56597988680216 -6.96902320332734 5.8886827621636 7.84548230640851 7.91478995811163 7.95637454913351 27.4376138036692 -489.443113335202 -2.18674670967539 6.21207039626569 5.89734352991143 -9.76142031331565 -1.12857482922786 -9.76049778597588 -9.75911399496622 -9.75680767661679 -9.11704484043834 3.74267356275066 5.77036906237466 5.83385629614305 5.87194863640408 28.4791622761998 -510.162863250892
CraigVenter_2005G.CV.words9 18.1 18.44 CraigVenter_2005G CV CV NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CraigVenter_2005G.CV.words10 18.44 18.71 CraigVenter_2005G CV CV 0.829183495528336 5.23335797374391 6.18902589949197 -7.49605378815603 2.29121482350991 -7.2099711338198 -6.78084715231545 -6.06564051647487 -4.44285957957913 5.99828306875557 6.14247951247586 6.16575270598391 6.17971662208875 -2.06802611208622 39.2928918722805 0.829183495528336 5.23335797374391 6.18902589949197 -7.49605378815603 2.29121482350991 -7.2099711338198 -6.78084715231545 -6.06564051647487 -4.44285957957913 5.99828306875557 6.14247951247586 6.16575270598391 6.17971662208875 -2.06802611208622 39.2928918722805
CraigVenter_2005G.CV.words11 18.71 18.83 CraigVenter_2005G CV CV 1.70415716413881 2.25525035316994 3.63160744890571 -3.08392128335157 2.64977108000026 -2.88815584566557 -2.59450768913656 -2.10509409492154 1.38778178939195 3.25451363040618 3.62504727617924 3.62832736254248 3.63029541436042 42.8110385891615 -801.804616342657 1.70415716413881 2.25525035316994 3.63160744890571 -3.08392128335157 2.64977108000026 -2.88815584566557 -2.59450768913656 -2.10509409492154 1.38778178939195 3.25451363040618 3.62504727617924 3.62832736254248 3.63029541436042 42.8110385891615 -801.804616342657
CraigVenter_2005G.CV.words12 18.83 19.24 CraigVenter_2005G CV CV 0.214531113787055 6.42216326047687 8.47840517215046 -11.7913693459889 3.00256413166701 -11.3855900403321 -10.7769210818468 -10.0536743368946 -5.73689314913112 5.09731092334741 8.30627256438577 8.46231573347459 8.47196939668011 -5.35844453364426 102.202532491389 0.214531113787055 6.42216326047687 8.47840517215046 -11.7913693459889 3.00256413166701 -11.3855900403321 -10.7769210818468 -10.0536743368946 -5.73689314913112 5.09731092334741 8.30627256438577 8.46231573347459 8.47196939668011 -5.35844453364426 102.202532491389
CraigVenter_2005G.CV.words13 19.24 19.48 CraigVenter_2005G CV CV 1.9383792703189 5.21138290148006 7.32191017368041 -11.2844940260829 3.33637562635136 -10.2570303731085 -8.71583489364689 -6.14717576121085 -1.59960765794567 6.11080709154153 7.27460418128325 7.29825717748183 7.31244897520098 -14.0638524846795 274.194301891321 1.9383792703189 5.21138290148006 7.32191017368041 -11.2844940260829 3.33637562635136 -10.2570303731085 -8.71583489364689 -6.14717576121085 -1.59960765794567 6.11080709154153 7.27460418128325 7.29825717748183 7.31244897520098 -14.0638524846795 274.194301891321
